drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Daporinad,RPA complex associated proteins,-0.13014742279945676,-0.09330477233308607,0.0001502771164243466,0.00657292224752859,0.019686302251589405,0.8610528144262453,0.0007571654712149772,0.017572506416862147,0.0007927370034197076,0.017078733509280897
Daporinad,mTOR regulation of autophagy/ribosome biogenesis,-0.12142297340601547,-0.07001394424889495,0.00040544862648750346,0.04142972891562802,0.05311377006986295,1.0,0.0018315093127538949,0.07334181740469284,0.0018528059326696378,0.0801076677187789
Daporinad,PIK3/AKT signaling,-0.051589544913660336,-0.04097506668643466,0.1329385090100439,0.23278862828188163,1.0,1.0,0.20488170212136175,0.31117663576455606,0.21836921229236048,0.32537764625553617
Daporinad,Locomotion,0.23603282028040573,0.23628457210158565,6.225908677492953e-12,5.808464820233894e-12,8.155940367515768e-10,7.609088914506401e-10,2.038985091878942e-10,1.8778529842222725e-10,2.645169848924033e-10,1.8261813394815362e-10
Daporinad,Regulation of adherens junction stability,0.14848111882321943,0.16044991879899204,1.529199527872116e-05,2.940099177450861e-06,0.002003251381512472,0.0003851529922460628,8.709788615271617e-05,2.4072062015378926e-05,0.00011180937943325425,2.0725721555841944e-05
Daporinad,mTOR regulation of mRNA translation,-0.07045536457309778,-0.05122294897538226,0.040161788503638274,0.13576195876242947,1.0,1.0,0.08768657156627689,0.2092331364456266,0.08188629251325469,0.21109574596888142
Daporinad,SMAD-TGFbeta signaling,-0.1877142580715177,-0.19543447363208238,4.570865952402414e-08,1.2474407284912559e-08,5.987834397647163e-06,1.6341473543235452e-06,5.443485816042876e-07,1.8157192825817168e-07,7.983779196862883e-07,1.705197239294134e-07
Daporinad,Cellular response to DNA damage,-0.060196036094024415,-0.09682568907280392,0.0795542511706937,0.0047976226649455445,1.0,0.6284885691078663,0.13895475871147833,0.014604910934077248,0.14434600473279244,0.013112648017875997
Daporinad,G1 to S cell cycle control,-0.07356709361459149,-0.060566753481360404,0.03213638588947809,0.07773602949254332,1.0,1.0,0.07385730792143211,0.12572123288300216,0.06820289950437712,0.13458264136814768
Daporinad,EGFR/PI3K signaling,-0.05873507134167421,-0.03873896507733819,0.0871313891283767,0.2592940473343779,1.0,1.0,0.14448369589642213,0.3363120811960743,0.1542461077813155,0.3529093007875688
Daporinad,H3 acetylation and H3K4 methylation crosstalk,0.11502241948037954,0.1446975729581714,0.0008082444683565893,2.486258450451473e-05,0.10588002535471319,0.0032569985700914295,0.0035293341784904397,0.00017142097737323314,0.003291607005846006,0.00013204048257127416
Daporinad,Histone modifications in DNA damage response,0.07439150145290173,0.14166716033720783,0.03026680719178687,3.663178466073447e-05,1.0,0.004798763790556215,0.07209003167498328,0.00022851256145505787,0.06526669534360625,0.00018292981509633745
Daporinad,NeST:16,0.20897998099400325,0.25034313013093523,1.1542873323833192e-09,3.013145288832675e-13,1.512116405422148e-07,3.947220328370804e-11,1.890145506777685e-08,1.973610164185402e-11,2.9266769137202866e-08,1.1841660985112412e-11
Daporinad,NeST:163,0.10351128390518136,0.10865865802541717,0.002572384429261332,0.0015449112464436254,0.33698236023323447,0.20238337328411493,0.00962806743523527,0.005469820899570673,0.008677657345061832,0.004976640326658564
Daporinad,Transcription coactivator activity,0.15717939862825445,0.0893996205816039,4.6994320412885315e-06,0.009186521342359422,0.0006156255974087976,1.0,3.621327043581162e-05,0.02359675089900165,4.059069873025039e-05,0.02281392030045657
Daporinad,Foxo signaling,-0.2825914292178651,-0.23529145043392286,2.220446049250313e-16,7.1673778023750856e-12,2.90878432451791e-14,9.389264921111362e-10,1.454392162258955e-14,1.8778529842222725e-10,2.053259523189113e-14,2.0900725998403273e-10
Daporinad,Neg Regulation EGFR,-0.025662940339237817,-0.020188253466339012,0.4547602697926316,0.5567883777988221,1.0,1.0,0.5465467462645389,0.6420994781261712,0.5681252275956171,0.6412244175089731
Daporinad,RNA processing 1,0.052045713994660604,0.10419321565517331,0.12957992124878803,0.00239723922621371,1.0,0.314038338633996,0.20208297242370515,0.0078509584658499,0.21352163124014129,0.007275019427814579
Daporinad,Phosphatase 2A catalytic subunit,0.16209978321904078,0.17786910675960227,2.3459201832221055e-06,2.1900362789928352e-07,0.0003073155440020958,2.868947525480614e-05,2.0268798141334643e-05,2.0492482324861527e-06,2.195111028586399e-05,2.19282613412531e-06
Daporinad,Wnt/beta-catenin,-0.07145391068174385,-0.06917188649884555,0.03741892828926807,0.04393907621096371,1.0,1.0,0.08308270518464606,0.07674691978181662,0.07750007282046036,0.08413182436496341
Daporinad,p53 regulation of cell cycle,0.0754567003471275,0.13230652140939256,0.027977264371383814,0.00011570516227776828,1.0,0.015157376258387645,0.06955973231585369,0.0006315573440994852,0.062206873538635576,0.0005024544616040103
Daporinad,Regulation of immune responses,-0.025282243830822344,-0.0029790816726552767,0.461478323481038,0.9312603658427105,1.0,1.0,0.5495787306910543,0.9605914009873628,0.5739271554685061,0.9469219243885776
Daporinad,Regulation of beta catenin transcription,0.12226293672749318,0.12402573323325584,0.0003696762735860837,0.00030173561787338876,0.04842759183977696,0.03952736594141393,0.0017295568514206058,0.001411691640764783,0.0017041967802854062,0.0011568985153584564
Daporinad,MDM2-p53 pathway,0.04908452923290943,0.08703748582432395,0.1528559624169492,0.011205725768375308,1.0,1.0,0.2328387334490738,0.02822980914725318,0.24344113399401027,0.027344236634882176
Daporinad,RNA metabolism,0.07560544819276484,0.09654081507786333,0.02766973707413256,0.004906943703104627,1.0,0.6428096251067061,0.06955973231585369,0.014604910934077248,0.06178526517121646,0.013299509484966334
Daporinad,Resolution of D-loop structures,0.0026546606553579603,0.025849252142258205,0.9384270219783333,0.451086922694782,1.0,1.0,0.9604214053059504,0.5372035170274222,0.9566843570362775,0.5471639958325787
Daporinad,NeST:195,0.008924018734398607,0.020050379064233185,0.7949856744139305,0.5587735916517826,1.0,1.0,0.8265327249859119,0.6420994781261712,0.8507266713265479,0.6422830421199612
Daporinad,Cohesin,0.05900947695333557,0.08466175121105399,0.08569088156930338,0.01362487790713418,1.0,1.0,0.14398961909762933,0.0313133158918347,0.15245959669160752,0.0322564880572514
Daporinad,Oncogene induced senescence,0.11330119777531508,0.13909951269625206,0.0009674503776502252,5.057500976834994e-05,0.1267359994721795,0.006625326279653843,0.0039604999835056096,0.0003011511945297201,0.003850207578901656,0.00023732512046521228
Daporinad,Cytoplasm/extracellular space,0.23011515687418746,0.23113335308503988,2.0554447033305223e-11,1.64834812466097e-11,2.6926325613629842e-09,2.1593360433058706e-09,5.385265122725968e-10,3.5988934055097843e-10,7.514323427059491e-10,4.318672086611741e-10
Daporinad,Extracellular matrix organization,0.19172708074505246,0.22027910480315746,2.3507899182817482e-08,1.3809442478418532e-10,3.07953479294909e-06,1.8090369646728277e-08,3.07953479294909e-07,2.5843385209611824e-09,4.3461484903995964e-07,2.85637415474657e-09
Daporinad,MHC class I including non-classical MHCs,0.03091290133371679,0.04176716059773907,0.36797777928601727,0.22347305674039042,1.0,1.0,0.46351047198527173,0.3049476086769911,0.48325903846083473,0.31563310439882636
Daporinad,Endoplasmic Reticulum protein processing,0.06785647899618523,0.05837360084276119,0.04812661300928189,0.08891584270005581,1.0,1.0,0.09699363544947581,0.14204848041106477,0.09456879456323891,0.14965278878424812
Daporinad,Regulation of androgen receptor signaling pathway,0.04745774309374651,0.05047988122831457,0.16692996349178113,0.14124385816927276,1.0,1.0,0.25135431284394627,0.21515052814156665,0.2603312525883729,0.21789533370176328
