Gene,Drug,Partner Genes,Candidate Gene Pairs,Gene Pairs Tested,Epistasis Score HMP (-log10[P]),Max Epistasis Score (-log10[P]),Top Interaction for Gene,Top Interaction P-Value,Top Interaction FDR,Epistasis Score HMP FDR
CD79A,5-FU,98,861,111,2.6535274602145114,4.3164170560762685,CD79A_amp x HLA-F_amp,4.8259513990510086e-05,0.26048544544234564,0.17431604711551238
RPS6KB1,5-FU,7,63,12,2.5973071848500497,3.669677456292739,MAPK1_del x RPS6KB1_amp,0.000213955,0.30809527347218085,0.17431604711551238
AXL,5-FU,98,861,148,2.3746935643382336,4.139268146521685,AXL_amp x HLA-F_amp,7.256577760751525e-05,0.26704206159565613,0.17431604711551238
HLA-E,5-FU,98,861,121,2.496703461391681,4.441458638719129,HLA-E_amp x JAK3_amp,3.618606519286767e-05,0.26048544544234564,0.17431604711551238
HLA-F,5-FU,98,861,122,2.539019808822933,4.3164170560762685,CD79A_amp x HLA-F_amp,4.8259513990510086e-05,0.26048544544234564,0.17431604711551238
JAK3,5-FU,109,960,116,2.419172633570591,4.441458638719129,HLA-E_amp x JAK3_amp,3.618606519286767e-05,0.26048544544234564,0.17431604711551238
FCGR3A,5-FU,98,861,163,2.7198203538458228,4.921222965646278,FCGR3A_amp x LYN_amp,1.1988836414108665e-05,0.19447816489842829,0.17431604711551238
FCGR2A,5-FU,173,1530,310,2.6449267442956397,4.871930354,FCGR2A_amp x LYN_amp,1.3429803124881347e-05,0.19447816489842829,0.17431604711551238
MYCN,5-FU,13,117,20,2.5993900191767607,3.8970465457521963,MYC_amp x MYCN_amp,0.000126752,0.30244227973845933,0.17431604711551238
KAT6A,5-FU,26,234,85,2.389296179151108,4.243799102801049,KAT6A_amp x TBL1XR1_amp,5.7042808153286594e-05,0.26048544544234564,0.17431604711551238
TBL1XR1,5-FU,29,261,69,2.4294200945112285,4.243799102801049,KAT6A_amp x TBL1XR1_amp,5.7042808153286594e-05,0.26048544544234564,0.17431604711551238
SOX17,5-FU,82,729,160,2.5940716994332917,4.754098225553821,FCGR2A_amp x SOX17_amp,1.7615775806017054e-05,0.19447816489842829,0.17431604711551238
LYN,5-FU,98,861,160,3.003378797527563,4.921222965646278,FCGR3A_amp x LYN_amp,1.1988836414108665e-05,0.19447816489842829,0.17431604711551238
POU2F2,5-FU,98,861,119,2.0667101606027787,3.7180906941199745,HLA-F_amp x POU2F2_amp,0.000191386,0.30743981238729423,0.22680726352637762
BCL2L1,5-FU,12,72,24,2.062017418549553,3.4233286464922936,BCL2_del x BCL2L1_amp,0.000377287,0.3282179268034549,0.22680726352637762
HLA-G,5-FU,98,861,153,2.1490481046044962,3.982754856883194,CD79A_amp x HLA-G_amp,0.000104051,0.30244227973845933,0.22680726352637762
PTPN13,5-FU,12,105,23,2.1756523730287656,3.523343942821127,PTPN13_del x TP53_mut,0.000299679,0.3282179268034549,0.22680726352637762
UPF1,5-FU,118,1044,214,2.121272934215603,4.2012168789005715,BRD4_amp x UPF1_amp,6.291918972037335e-05,0.26048544544234564,0.22680726352637762
PRCC,5-FU,90,795,198,2.0371956479035656,4.2311736256988475,PRCC_amp x RAD21_amp,5.872545283113484e-05,0.26048544544234564,0.22680726352637762
MAP2K2,5-FU,58,522,60,2.0376495940181156,3.5878204023952565,MAP2K2_amp x MDM4_amp,0.000258333,0.32387904681618146,0.22680726352637762
BRD4,5-FU,90,795,182,2.031894646107483,4.2012168789005715,BRD4_amp x UPF1_amp,6.291918972037335e-05,0.26048544544234564,0.22680726352637762
RAD21,5-FU,90,795,249,2.0524902838323236,4.2311736256988475,PRCC_amp x RAD21_amp,5.872545283113484e-05,0.26048544544234564,0.22680726352637762
RIT1,5-FU,20,171,36,1.9624841299170575,3.404152081188822,ELOC_amp x RIT1_amp,0.000394319,0.3282179268034549,0.23066052670818582
TIGIT,5-FU,98,861,117,1.9100898366260488,3.7636591551026304,FOXP1_del x TIGIT_amp,0.000172322,0.30718319454154835,0.23066052670818582
RAD51C,5-FU,65,576,102,1.922642826851049,3.753939274646608,MYC_amp x RAD51C_amp,0.000176222,0.30718319454154835,0.23066052670818582
BCL2,5-FU,12,105,29,1.9936073682364477,3.4233286464922936,BCL2_del x BCL2L1_amp,0.000377287,0.3282179268034549,0.23066052670818582
ELOC,5-FU,20,116,32,1.9292262402829825,3.404152081188822,ELOC_amp x RIT1_amp,0.000394319,0.3282179268034549,0.23066052670818582
HLA-A,5-FU,190,1683,272,1.9585528119501046,4.009125078,CD79A_amp x HLA-A_amp,9.79207930598449e-05,0.30244227973845933,0.23066052670818582
MYD88,5-FU,98,861,145,1.9046030084056031,3.935830073344847,HGF_amp x MYD88_amp,0.000115923,0.30244227973845933,0.23066052670818582
DNM2,5-FU,79,702,112,1.8664222713495624,3.788005559846555,DNM2_amp x VEGFA_amp,0.000162928,0.30718319454154835,0.24346176134350092
VEGFA,5-FU,82,729,95,1.8445090354081752,3.788005559846555,DNM2_amp x VEGFA_amp,0.000162928,0.30718319454154835,0.24780128632994766
CD70,5-FU,98,861,108,1.8157634906955142,3.539011595636855,CD70_amp x IKBKE_amp,0.00028906,0.3282179268034549,0.25350016861210417
MDM4,5-FU,51,459,98,1.781927988814907,3.5878204023952565,MAP2K2_amp x MDM4_amp,0.000258333,0.32387904681618146,0.25350016861210417
MYC,5-FU,176,1563,471,1.785454252584808,3.8970465457521963,MYC_amp x MYCN_amp,0.000126752,0.30244227973845933,0.25350016861210417
MAPK1,5-FU,139,1242,228,1.7974425768097602,3.710110926947311,GNA13_amp x MAPK1_del,0.000194935,0.30743981238729423,0.25350016861210417
PARK2,5-FU,20,59,2,1.3671424359588698,1.6360195404348892,PARK2_mut x TP53_mut,0.023119607645961448,0.6950228468864443,0.2607074187701858
SMAD3,5-FU,8,72,5,1.0716947141233868,1.5763593886285403,SMAD2_del x SMAD3_amp,0.026524097237645806,0.7142098378136822,0.2607074187701858
FGF2,5-FU,13,117,17,1.4542666390012158,2.462765883,EGF_del x FGF2_del,0.003445356,0.5307450905266049,0.2607074187701858
CDK6,5-FU,45,399,94,1.4364419716632728,3.023270403762787,CDK6_amp x E2F4_amp,0.000947828,0.3782176849191844,0.2607074187701858
RINT1,5-FU,14,126,40,1.5431868643953885,2.7782184948028883,KRAS_del x RINT1_amp,0.001666409,0.459928781,0.2607074187701858
MAP3K7,5-FU,11,99,14,1.443895756766315,2.4945111123849575,MAP3K7_del x TNFAIP3_del,0.003202498,0.5123997040930758,0.2607074187701858
PIK3C3,5-FU,14,126,46,1.3596037673907588,2.572008296116092,PIK3C3_del x SEC23B_amp,0.002679117,0.4802042364672841,0.2607074187701858
PMS1,5-FU,34,306,29,1.1703822621417783,1.9368936674805297,MSH2_amp x PMS1_amp,0.011563953389921035,0.6209293444088518,0.2607074187701858
DDB2,5-FU,20,171,17,1.181285450195747,2.1614069288773243,DDB2_amp x PRAME_amp,0.006895934,0.599842714,0.2607074187701858
ETV4,5-FU,20,171,20,1.5549325643239253,2.7260068930450245,ETV4_amp x ETV5_amp,0.001879287,0.4715429934842654,0.2607074187701858
CALR,5-FU,14,126,24,1.599031156639649,2.818446685168234,CALR_amp x TNF_amp,0.001518984,0.4482626293132439,0.2607074187701858
TET2,5-FU,20,171,31,1.6314066979971193,2.971716935891559,TET2_del x VHL_del,0.001067292,0.4000147124055655,0.2607074187701858
ASNS,5-FU,33,294,66,1.4351164562524898,2.7558278724066847,ASNS_amp x UPF1_mut,0.001754576,0.46864152820741883,0.2607074187701858
LMNA,5-FU,79,702,151,1.491796112199396,3.2180781694641976,LMNA_amp x SOX17_amp,0.000605232,0.34798121924156666,0.2607074187701858
PCBP1,5-FU,98,861,77,1.015535929853909,2.074155004157981,HLA-B_amp x PCBP1_amp,0.008430338,0.599842714,0.2607074187701858
EGLN1,5-FU,24,216,48,1.3296305137510016,2.5322299475009538,EGLN1_amp x INSR_amp,0.002936095,0.4942052398050995,0.2607074187701858
HLA-DPB1,5-FU,98,861,93,1.5475984226102355,3.0132556076433885,HLA-DPB1_amp x SOD2_amp,0.000969939,0.3824330652326121,0.2607074187701858
IRF1,5-FU,98,861,110,1.4277800937681928,2.880683320771744,IRF1_amp x JAK2_del,0.001316184,0.4359202132402574,0.2607074187701858
PPP2R1B,5-FU,11,99,22,1.067641192525519,2.182661158848905,AKT1_amp x PPP2R1B_del,0.006566574,0.599842714,0.2607074187701858
XPC,5-FU,54,471,98,1.5323763078113795,3.2532210115948406,CDK8_del x XPC_amp,0.000558186,0.34562016706120496,0.2607074187701858
BCL2L11,5-FU,12,105,9,1.2207304037150357,2.0897064681680373,BCL2L11_del x MCL1_amp,0.008133801,0.599842714,0.2607074187701858
CBLB,5-FU,122,1089,202,1.2143867770493573,2.8116529425939363,CBLB_amp x FOXP1_del,0.001542933,0.4482626293132439,0.2607074187701858
MCL1,5-FU,12,105,22,1.1923152732612865,2.1522350636193908,MCL1_amp x TP53_mut,0.007043118,0.599842714,0.2607074187701858
CKS1B,5-FU,64,570,131,1.3870402714963295,3.0048097475593725,CKS1B_amp x MSH3_amp,0.000988986,0.38535558251093643,0.2607074187701858
CDKN2B,5-FU,45,268,116,1.4596717417252374,3.0507622309274613,CDKN2B_del x HLA-A_amp,0.000889688,0.37398983971301536,0.2607074187701858
PDPK1,5-FU,14,126,6,0.8889527900859285,1.4572471203077204,EGFR_amp x PDPK1_del,0.034894171,0.7403017080307739,0.2607074187701858
GNA11,5-FU,79,702,93,1.1479690459495284,2.359706147795211,CSF1R_amp x GNA11_del,0.004368113,0.553664669,0.2607074187701858
E2F6,5-FU,8,72,10,0.8997002238013135,1.5624310455705126,E2F6_amp x TFDP1_amp,0.027388545,0.7216456612481144,0.2607074187701858
E2F2,5-FU,39,345,62,0.9617740085058689,1.9834787063364434,E2F2_amp x HDAC1_amp,0.010387745327799774,0.6154599736256324,0.2607074187701858
VHL,5-FU,61,537,119,1.419616239176625,2.971716935891559,TET2_del x VHL_del,0.001067292,0.4000147124055655,0.2607074187701858
RAC1,5-FU,90,801,216,1.1390192944683588,2.571492612530577,RAC1_amp x RINT1_mut,0.0026823,0.4802042364672841,0.2607074187701858
SOD2,5-FU,121,1068,189,1.2235642384507426,3.0132556076433885,HLA-DPB1_amp x SOD2_amp,0.000969939,0.3824330652326121,0.2607074187701858
HLA-C,5-FU,98,861,148,1.1145162220355325,2.5745299474602827,HLA-C_amp x IL2RA_amp,0.002663606,0.4802042364672841,0.2607074187701858
MYCL,5-FU,13,117,15,1.0398574564738743,2.029257633507927,DKC1_del x MYCL_amp,0.009348509,0.599842714,0.2607074187701858
ABL2,5-FU,79,702,184,1.6567047332152838,3.5625494443036985,ABL2_amp x SOX17_amp,0.000273811,0.32387904681618146,0.2607074187701858
JUN,5-FU,10,90,13,0.8862882137006093,1.724652409,JUN_amp x TP53_mut,0.018851572884258757,0.6720819095012379,0.2607074187701858
TP53,5-FU,255,2253,1152,1.5227418408459383,3.6338830551062395,TP53_mut x UPF1_amp,0.000232336,0.3189633213921158,0.2607074187701858
IL6R,5-FU,109,960,190,1.3506557006332418,3.1709740054496702,CD70_amp x IL6R_amp,0.000674568,0.3603500885905308,0.2607074187701858
HLA-DOA,5-FU,98,861,97,1.2080100484479563,2.607896998,CD79A_amp x HLA-DOA_amp,0.002466624,0.4715429934842654,0.2607074187701858
MS4A1,5-FU,109,957,103,0.9938017848369053,2.3363895663232634,BIRC3_amp x MS4A1_amp,0.00460904,0.553664669,0.2607074187701858
TAP2,5-FU,104,915,106,1.180801931920004,2.607896998,CD79A_amp x TAP2_amp,0.002466624,0.4715429934842654,0.2607074187701858
CBR3,5-FU,79,702,85,1.3009659541005334,2.9502166621716883,CBR3_del x PAK3_del,0.001121459,0.4016327983480553,0.2607074187701858
CFTR,5-FU,14,126,51,1.278771591484583,2.6521782574095973,CFTR_amp x KRAS_del,0.002227521,0.4715429934842654,0.2607074187701858
CDKN2A,5-FU,52,462,189,1.3250266132788568,3.339076078813976,CDKN2A_del x TP53_mut,0.000458062,0.34562016706120496,0.2607074187701858
HLA-DPA1,5-FU,98,861,92,1.1817864785037056,2.466390750778452,AXL_amp x HLA-DPA1_amp,0.003416719,0.5307450905266049,0.2607074187701858
NBN,5-FU,28,249,70,1.2853931283677977,2.6042260197753895,NBN_amp x RAD51C_amp,0.002487562,0.4715429934842654,0.2607074187701858
TNFAIP3,5-FU,105,924,160,1.158167003411989,2.706002431379705,TNFAIP3_del x TP53_mut,0.001967875,0.4715429934842654,0.2607074187701858
XRCC2,5-FU,44,393,110,0.9579961141229423,2.118972835572952,MLH1_amp x XRCC2_amp,0.007603738,0.599842714,0.2607074187701858
BRIP1,5-FU,44,393,107,1.0895885568729995,2.3709860005501255,BRIP1_amp x WRN_mut,0.004256121,0.553664669,0.2607074187701858
PRDM1,5-FU,187,1647,315,0.9881299259930257,2.2715180015007443,HLA-F_amp x PRDM1_del,0.00535158,0.5736062135986385,0.2607074187701858
SPRED1,5-FU,79,702,84,1.5067014983225981,3.2809396808831734,PIK3CA_amp x SPRED1_amp,0.000523673,0.34562016706120496,0.2607074187701858
GREM1,5-FU,79,702,61,1.048555989554412,2.316656067497536,GREM1_del x VSIR_del,0.004823296,0.558557937,0.2607074187701858
FGF5,5-FU,13,117,14,0.8937917124762467,1.7715886979718287,FGF5_del x TP53_mut,0.016920426354472353,0.6610838603708171,0.2607074187701858
NOTCH4,5-FU,82,729,168,1.4210868294312877,3.240924768023767,NOTCH4_amp x PIK3R1_amp,0.000574216,0.3457823890733382,0.2607074187701858
CEBPA,5-FU,16,144,22,1.2267978078425659,2.3818468656323577,CEBPA_amp x NCOR2_mut,0.004151004,0.553664669,0.2607074187701858
RAD51,5-FU,65,576,59,0.8855985176312337,1.924606178170657,PMS2_amp x RAD51_amp,0.011895804598911493,0.6209293444088518,0.2607074187701858
CD22,5-FU,98,861,136,1.503808169020731,3.126078621468184,CD22_amp x HLA-A_amp,0.000748034,0.3624388124499192,0.2607074187701858
UMPS,5-FU,33,294,46,1.6116170508481371,3.1157575893524565,RHOA_del x UMPS_amp,0.000766024,0.3624388124499192,0.2607074187701858
HLA-DMA,5-FU,98,861,96,1.1985841238216999,2.607896998,CD79A_amp x HLA-DMA_amp,0.002466624,0.4715429934842654,0.2607074187701858
HLA-DMB,5-FU,98,861,96,1.1985841238216999,2.607896998,CD79A_amp x HLA-DMB_amp,0.002466624,0.4715429934842654,0.2607074187701858
CYP1B1,5-FU,17,153,30,1.0909132134419004,2.321045992896917,ATP7B_del x CYP1B1_amp,0.004774787,0.5569648167942434,0.2607074187701858
ETV5,5-FU,20,171,34,1.3009992859865098,2.7260068930450245,ETV4_amp x ETV5_amp,0.001879287,0.4715429934842654,0.2607074187701858
FANCC,5-FU,79,702,81,1.0324909742072557,2.3375740364630517,DMD_mut x FANCC_mut,0.004596486,0.553664669,0.2607074187701858
PARP1,5-FU,136,1200,280,1.2629526003979652,2.951167321915534,MYC_amp x PARP1_mut,0.001119007,0.4016327983480553,0.2607074187701858
PIK3R1,5-FU,150,1341,199,1.430041129285219,3.240924768023767,NOTCH4_amp x PIK3R1_amp,0.000574216,0.3457823890733382,0.2607074187701858
XRCC3,5-FU,28,249,56,1.2167482041319626,2.7193157175824965,TP53_mut x XRCC3_del,0.001908465,0.4715429934842654,0.2607074187701858
PIK3CB,5-FU,29,261,60,1.1303635995026684,2.298248324451793,IRS2_mut x PIK3CB_mut,0.005032128,0.558655027,0.2607074187701858
HLA-DOB,5-FU,98,861,92,1.2301101566213997,2.6299437078861128,CD79A_amp x HLA-DOB_amp,0.002344533,0.4715429934842654,0.2607074187701858
FOXL2,5-FU,33,294,54,1.0555077149616894,2.0328030578150087,FOXL2_amp x RHOA_del,0.009272502,0.599842714,0.2607074187701858
CDK5,5-FU,45,399,105,1.0237271285107166,2.4062377263085617,CDK5_amp x CDKN2B_del,0.003924301,0.5370778427269974,0.2607074187701858
SYK,5-FU,143,1266,133,1.0225573963579282,2.3687367038987546,KLHL6_amp x SYK_del,0.004278222,0.553664669,0.2607074187701858
HLA-DRA,5-FU,98,861,82,1.0110594253668754,2.1881986326328993,CD79A_amp x HLA-DRA_amp,0.006483378,0.599842714,0.2607074187701858
WRN,5-FU,141,1245,442,1.3008009137791392,3.1539169064232806,TOP1_amp x WRN_del,0.00070159,0.3624388124499192,0.2607074187701858
HGF,5-FU,115,1014,251,1.634012535331993,3.935830073344847,HGF_amp x MYD88_amp,0.000115923,0.30244227973845933,0.2607074187701858
CARD11,5-FU,98,861,265,1.103305636556396,2.947778208390187,CARD11_amp x TLR4_mut,0.001127773,0.4016327983480553,0.2607074187701858
FYN,5-FU,152,1347,221,0.8505361825386251,2.1709249135501505,CD22_amp x FYN_del,0.006746447,0.599842714,0.2607074187701858
CDC73,5-FU,137,1212,299,1.0439493160481363,2.9637718538479327,CDC73_amp x RPS15_amp,0.001086997,0.4000147124055655,0.2607074187701858
GSK3B,5-FU,57,513,75,1.4102362917278788,3.143141409784352,CTNNB1_del x GSK3B_amp,0.000719215,0.3624388124499192,0.2607074187701858
HLA-DQA2,5-FU,98,861,94,1.2348983627852455,2.6536274398545934,CD79A_amp x HLA-DQA2_amp,0.0022201,0.4715429934842654,0.2607074187701858
CCNE1,5-FU,64,570,100,1.0614087748619587,2.540271791760787,CCNE1_amp x HLA-A_amp,0.002882227,0.49276021878249027,0.2607074187701858
TGFBR2,5-FU,27,243,51,1.3187455615701622,2.6233581627250637,CCND1_amp x TGFBR2_del,0.002380356,0.4715429934842654,0.2607074187701858
AKT3,5-FU,29,261,59,1.1219141693255732,2.3405748654257916,AKT3_amp x INSR_amp,0.004564836,0.553664669,0.2607074187701858
TAP1,5-FU,104,915,108,1.1647768321650778,2.607896998,CD79A_amp x TAP1_amp,0.002466624,0.4715429934842654,0.2607074187701858
PRSS8,5-FU,7,63,8,1.108289670301446,1.9306797287294994,CDH1_amp x PRSS8_amp,0.011730601,0.6209293444088518,0.2607074187701858
IKBKE,5-FU,98,861,155,1.6372552540574452,3.539011595636855,CD70_amp x IKBKE_amp,0.00028906,0.3282179268034549,0.2607074187701858
BCL2L12,5-FU,79,702,75,1.2925952510977339,2.7109189865834447,BCL2L12_amp x LMNA_amp,0.001945723,0.4715429934842654,0.2607074187701858
RAF1,5-FU,65,585,105,1.246944489,2.869022319902634,EGF_del x RAF1_del,0.001352003,0.44017996155437933,0.2607074187701858
POLD1,5-FU,31,279,69,1.5436403285472684,3.2847496966061818,CDKN1A_amp x POLD1_amp,0.000519099,0.34562016706120496,0.2607074187701858
SLIT2,5-FU,86,765,217,1.049284123810584,2.5062545173543866,LMNA_amp x SLIT2_del,0.003117062,0.5051118676037416,0.2607074187701858
FUS,5-FU,114,1008,121,1.1529790446019026,2.665169842036365,FUS_amp x NSD2_del,0.002161873,0.4715429934842654,0.2607074187701858
SMAD2,5-FU,19,171,51,1.1762495628953014,2.3734047463969827,RBL1_amp x SMAD2_del,0.004232483,0.553664669,0.2607074187701858
GATA3,5-FU,190,1674,403,1.0073320826189462,2.722965968665721,DNMT3B_amp x GATA3_amp,0.001892492,0.4715429934842654,0.2607074187701858
FAS,5-FU,116,1020,128,0.993296944,2.5210385787201655,BTK_del x FAS_amp,0.003012738,0.49551452625773246,0.2607074187701858
TNF,5-FU,287,2547,350,1.521547133,3.4018680388636686,TNF_amp x UPF1_amp,0.000396398,0.3282179268034549,0.2607074187701858
IKZF1,5-FU,108,951,246,0.9938088852514543,2.7005538325813294,IKZF1_amp x JAK2_mut,0.001992719,0.4715429934842654,0.2607074187701858
SQSTM1,5-FU,7,63,13,0.8483803158802236,1.5889359434941717,PPP2R2A_del x SQSTM1_del,0.025767012,0.7082331214275799,0.2607074187701858
ERG,5-FU,82,729,101,0.88594684,2.211605495270226,ERG_del x PAK3_del,0.006143198,0.599842714,0.2607074187701858
CD19,5-FU,98,861,64,1.0677859462429788,2.597867617133573,CD19_amp x CYLD_amp,0.00252425,0.4715429934842654,0.2607074187701858
FGF7,5-FU,13,117,15,0.906833469,1.8460768209745009,FGF7_amp x FRS2_amp,0.014253554446946806,0.6283666859605809,0.2607074187701858
MST1,5-FU,17,153,33,0.8488503253417087,1.6089353246008016,FGF19_amp x MST1_del,0.024607340308758215,0.7019299968080549,0.2607074187701858
CDK4,5-FU,45,399,42,0.9369747541573281,1.9966057247768907,CDK4_amp x CDK6_amp,0.010078462291142266,0.6120542054238612,0.2607074187701858
PDGFRB,5-FU,79,702,125,1.4039890424885328,3.2042510293555724,INHBA_amp x PDGFRB_mut,0.000624811,0.350741607,0.2607074187701858
RASA1,5-FU,52,468,79,0.9052028563073572,2.0815190351743325,EGF_mut x RASA1_mut,0.008288596,0.599842714,0.2607074187701858
MSH2,5-FU,55,489,93,0.8471237647496084,1.9368936674805297,MSH2_amp x PMS1_amp,0.011563953389921035,0.6209293444088518,0.2607074187701858
CTNNB1,5-FU,152,1347,370,1.1520768313214664,3.143141409784352,CTNNB1_del x GSK3B_amp,0.000719215,0.3624388124499192,0.2607074187701858
IGF1R,5-FU,27,243,52,0.9276347158950011,1.9836794746147044,EGLN1_amp x IGF1R_mut,0.010382944327902275,0.6154599736256324,0.2607074187701858
HLA-DQB2,5-FU,98,861,105,1.1815869723481465,2.6299437078861128,CD79A_amp x HLA-DQB2_amp,0.002344533,0.4715429934842654,0.2607074187701858
SOX2,5-FU,100,885,231,0.8654216912298489,2.255732925476577,SOX2_amp x SPEN_del,0.005549669,0.5877721463465841,0.2607074187701858
CDKN1A,5-FU,64,570,85,1.7282789325948325,3.2847496966061818,CDKN1A_amp x POLD1_amp,0.000519099,0.34562016706120496,0.2607074187701858
HLA-B,5-FU,98,861,156,0.8830899831736473,2.074155004157981,HLA-B_amp x PCBP1_amp,0.008430338,0.599842714,0.2607074187701858
HLA-DRB5,5-FU,98,576,126,1.2513236019967282,2.8126472554084243,HLA-DRB5_amp x IL2RA_amp,0.001539404,0.4482626293132439,0.2607074187701858
FLT1,5-FU,82,729,217,1.326967435432499,3.4683345470852966,FLT1_del x MAPK1_del,0.000340146,0.3282179268034549,0.2607074187701858
TFDP1,5-FU,47,417,130,1.2420864084984993,3.177033824,ATR_mut x TFDP1_amp,0.000665221,0.3603500885905308,0.2607074187701858
RSF1,5-FU,96,849,243,1.139462918653751,3.3094615568093992,CREBBP_amp x RSF1_amp,0.000490386,0.34562016706120496,0.2607074187701858
HLA-DQA1,5-FU,98,861,135,0.9499255896961512,2.1666781985909145,HLA-DQA1_amp x JAK3_amp,0.00681274,0.599842714,0.2607074187701858
EPHB2,5-FU,59,531,111,1.0217222413307745,2.519682568096985,BRAF_mut x EPHB2_mut,0.00302216,0.49551452625773246,0.2607074187701858
KMT2C,5-FU,90,795,404,0.8998859524466596,2.327271757683105,KMT2C_amp x UPF1_mut,0.004706827,0.553664669,0.2607074187701858
IL2RA,5-FU,173,1530,320,1.0664647895821058,2.8126472554084243,HLA-DRB5_amp x IL2RA_amp,0.001539404,0.4482626293132439,0.2607074187701858
TRAF3,5-FU,24,216,56,1.4684266132616839,3.1299279996168785,TP53_mut x TRAF3_del,0.000741433,0.3624388124499192,0.2607074187701858
MAGI2,5-FU,90,795,299,1.1000879890370494,3.0481207754398922,MAGI2_amp x SMC3_amp,0.000895116,0.37398983971301536,0.2607074187701858
RPTOR,5-FU,7,63,16,1.3099022196744603,2.196777818832138,AKT1_amp x RPTOR_amp,0.00635656,0.599842714,0.2607074187701858
EXT2,5-FU,79,702,87,1.0169342972711077,2.3607755381266307,ABL2_amp x EXT2_amp,0.00435737,0.553664669,0.2607074187701858
ATRX,5-FU,96,849,406,0.8864353141004072,2.412093863740153,ATRX_del x RUNX1_del,0.00387174,0.5354155919045686,0.2607074187701858
PHOX2B,5-FU,98,861,91,0.9203152299880443,2.180846185216583,FCGR3A_amp x PHOX2B_del,0.006594074,0.599842714,0.2607074187701858
PRAME,5-FU,20,171,35,1.0004303152088814,2.1614069288773243,DDB2_amp x PRAME_amp,0.006895934,0.599842714,0.2607074187701858
MLH1,5-FU,34,306,68,0.9604785473984994,2.118972835572952,MLH1_amp x XRCC2_amp,0.007603738,0.599842714,0.2607074187701858
CREBBP,5-FU,165,1464,407,1.2472949802400688,3.3094615568093992,CREBBP_amp x RSF1_amp,0.000490386,0.34562016706120496,0.2607074187701858
SMC3,5-FU,90,795,162,1.1535234887180341,3.0481207754398922,MAGI2_amp x SMC3_amp,0.000895116,0.37398983971301536,0.2607074187701858
FOXP1,5-FU,173,1530,329,1.5378440243783238,3.7636591551026304,FOXP1_del x TIGIT_amp,0.000172322,0.30718319454154835,0.2607074187701858
ATP7B,5-FU,17,153,55,1.032866160602434,2.321045992896917,ATP7B_del x CYP1B1_amp,0.004774787,0.5569648167942434,0.2607074187701858
ENG,5-FU,82,729,79,0.9975636018919266,2.406701174992998,ENG_amp x SLIT2_del,0.003920115,0.5370778427269974,0.2607074187701858
PBRM1,5-FU,90,795,250,0.8559472952059526,2.222071018131912,PBRM1_del x TP53_mut,0.00599693,0.599842714,0.2607074187701858
HLA-DRB1,5-FU,98,861,133,1.110017760859912,2.8937783070926395,HLA-DRB1_amp x JAK3_amp,0.001277091,0.4311395058094456,0.2607074187701858
INSR,5-FU,27,243,44,1.2310288012324413,2.5322299475009538,EGLN1_amp x INSR_amp,0.002936095,0.4942052398050995,0.2607074187701858
SMAD4,5-FU,35,315,97,0.9734669791435644,2.375254234786884,SMAD4_del x TGFBR2_del,0.004214497,0.553664669,0.2607074187701858
GNA13,5-FU,79,702,146,1.647971531660496,3.710110926947311,GNA13_amp x MAPK1_del,0.000194935,0.30743981238729423,0.2607074187701858
RHOA,5-FU,110,978,232,1.3171956712119353,3.1829141635882983,CASR_amp x RHOA_del,0.000656275,0.3603500885905308,0.2607074187701858
DNMT3A,5-FU,91,804,175,1.7164494868785007,3.893319789422873,DNMT3A_amp x MYC_amp,0.000127844,0.30244227973845933,0.2607074187701858
PMS2,5-FU,34,306,92,0.8480282642492023,2.1131511158357004,BLM_mut x PMS2_amp,0.007706353,0.599842714,0.2607074187701858
SRSF2,5-FU,99,876,163,0.8795401334596402,2.0618953924689967,MTA1_amp x SRSF2_amp,0.008671707,0.599842714,0.2607074187701858
ARFRP1,5-FU,14,126,34,1.1330304119614645,2.488094072278776,ARFRP1_amp x PIK3C3_del,0.003250169,0.5125980634203033,0.2607074187701858
RBL2,5-FU,52,462,124,1.6364561307489045,3.571410541603517,RBL2_mut x TP53_del,0.000268281,0.32387904681618146,0.2607074187701858
E2F5,5-FU,39,345,83,1.3624687646821994,3.0511310548267363,E2F5_amp x MDM4_amp,0.000888933,0.37398983971301536,0.2607074187701858
PIK3CG,5-FU,98,861,241,0.8783195774991867,2.520434603,LYN_amp x PIK3CG_del,0.003016931,0.49551452625773246,0.2607074187701858
IFNGR2,5-FU,98,861,99,0.9219326703843953,2.5112463673873857,IFNGR2_del x MYD88_del,0.003081439,0.5027451884064599,0.2607074187701858
RPL5,5-FU,46,411,66,1.157565044612362,2.583100378776566,RPL5_del x TP53_mut,0.002611558,0.4778717687734462,0.2607074187701858
NRIP1,5-FU,16,144,42,1.0481495673927306,2.447743600441268,HDAC5_amp x NRIP1_del,0.003566616,0.5314456332257577,0.2607074187701858
TNFRSF14,5-FU,98,861,119,1.2346640678879244,3.0414874630756024,BIRC3_del x TNFRSF14_del,0.000908893,0.37398983971301536,0.2607074187701858
IRF4,5-FU,98,861,196,1.4405272324427154,3.618409574,BIRC3_del x IRF4_amp,0.000240763,0.3189633213921158,0.2607074187701858
FGF19,5-FU,93,828,155,0.9301614075887091,2.3806289664395486,FGF19_amp x IL2RA_del,0.004162661,0.553664669,0.2607074187701858
STAG1,5-FU,90,795,201,0.9526611472583829,2.6087841550554285,CTNNB1_del x STAG1_amp,0.002461591,0.4715429934842654,0.2607074187701858
