drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_max_neglog10p,median_abs_interaction_beta,mean_delta_r2
5-FU,Ubiquitin/Proteasome System,0.0469220089201158,1.0,0.0495412667941284,True,True,21,60,1712,897,813,2,0,0.1,0,0,0.0,0.0,0.0,0.47041770670684985,3.404152081188822,0.027453960776563133,0.0009853085116959298
5-FU,Transcription coactivator activity,0.0353085542453295,1.0,0.5231588237357191,True,True,5,13,66,40,25,1,0,0.1,0,0,0.0,0.0,0.0,0.4633970328229319,1.3907264577290497,0.0209591831681916,0.0009248454613185464
5-FU,SMAD-TGFbeta signaling,-0.0538881379233619,1.0,0.1243792246696636,True,True,6,18,135,86,49,0,0,0.1,0,0,0.0,0.0,0.0,0.4633690426276969,1.69396954113428,0.03588094671341583,0.0009529956845444009
5-FU,Resolution of D-loop structures,0.0609878936643219,1.0,3.777861667371538e-05,True,True,9,27,324,213,107,4,0,0.1,0,0,0.0,0.0,0.0,0.4620968418870239,2.8946900917030858,0.025149012097405294,0.0009915238208062286
5-FU,Checkpoint-regulated DNA repair,-0.0429327606159271,1.0,0.0339955220918702,True,True,41,121,7141,4045,3079,17,0,0.1,0,0,0.0,0.0,0.0,0.46128490690844554,3.753939274646608,0.024248051264844972,0.0009672698444001799
5-FU,Endoplasmic Reticulum protein processing,0.0113422828762087,1.0,0.4509829392592724,True,True,6,18,135,87,48,0,0,0.1,0,0,0.0,0.0,0.0,0.46009201645083764,1.707682206892053,0.024179064381420392,0.0009290989986966055
5-FU,Phosphatase 2A catalytic subunit,0.0232136808244392,1.0,0.1419081585656429,True,True,5,15,90,45,44,1,0,0.1,0,0,0.0,0.0,0.0,0.4599791709196822,1.7474379761573922,0.028342225772671842,0.0009662346728396152
5-FU,NeST:78,0.0505117856782102,1.0,0.1245016689428807,True,True,10,30,405,297,108,0,0,0.1,0,0,0.0,0.0,0.0,0.45901751340443203,3.4416411646007035,0.024296280362109717,0.0009510055322218374
5-FU,PI3-K/Akt,-0.074850484620375,1.0,0.3299863839095544,True,True,6,18,135,82,53,0,0,0.1,0,0,0.0,0.0,0.0,0.45438868613958516,1.7380272296570818,0.029072991787901348,0.0009417288560168788
5-FU,Cyclin D associated events in G1,-0.0443173680602075,1.0,0.1231258710826568,True,True,27,79,3004,1589,1409,6,0,0.1,0,0,0.0,0.0,0.0,0.4538841151677084,3.571410541603517,0.024334903371221652,0.0009411435961490937
5-FU,Polybromo- and BAF containing complex,0.1213298190963623,0.0068965148784017,0.0077044295167021,True,True,12,36,594,363,231,0,0,0.1,0,0,0.0,0.0,0.0,0.450277262442702,2.849068977291537,0.024638635385426114,0.000927996526089658
5-FU,G1/S phase,0.1547470508241422,3.2840342278905865e-05,0.0457908922831609,True,True,19,57,1539,900,635,4,0,0.1,0,0,0.0,0.0,0.0,0.4494395592524855,3.339076078813976,0.02430550385893811,0.0009228874765810991
5-FU,RNA processing 2,-0.0919169647800429,0.2872072646197554,0.0589891642555653,True,True,15,45,945,459,486,0,0,0.1,0,0,0.0,0.0,0.0,0.44771153312368406,3.4018680388636686,0.026035428770655518,0.0009327676236981682
5-FU,ECM-cytoskeleton assembly,0.1768848777518019,4.910577118266701e-07,0.5685447261285611,True,True,6,18,135,57,78,0,0,0.1,0,0,0.0,0.0,0.0,0.44633020966478704,2.019593220241269,0.028446194437846965,0.0009504841429203996
5-FU,Mismatch and excision repair,-0.0111659986474981,1.0,0.0001072925416096,True,True,32,96,4464,2729,1726,9,0,0.1,0,0,0.0,0.0,0.0,0.4460524884726768,3.3149154997485546,0.023486429803847585,0.0009336749719071564
5-FU,Ubiquitin regulation of mitophagy,-0.1708735893878727,1.6250842804765853e-06,0.00130131094644,True,True,8,21,191,115,76,0,0,0.1,0,0,0.0,0.0,0.0,0.44601132378038677,1.8128533967614433,0.02970703184636884,0.0009114288247854995
5-FU,Regulation of mRNA processing,-0.0389498401554197,1.0,0.5086659259970318,True,True,7,21,189,103,86,0,0,0.1,0,0,0.0,0.0,0.0,0.44393435222389144,2.299465005350805,0.028260317027358754,0.0008960591989961812
5-FU,Regulation of beta catenin transcriptional activity,-0.1137637246432567,0.0196645124466687,0.1697141820689771,True,True,10,30,405,308,97,0,0,0.1,0,0,0.0,0.0,0.0,0.4433567501820113,2.664050656776523,0.02225575997092234,0.000930735118210644
5-FU,Extracellular matrix,0.0536495078182532,1.0,0.6359117233215493,True,True,8,24,252,96,156,0,0,0.1,0,0,0.0,0.0,0.0,0.4433137821257622,2.019593220241269,0.027536681958540875,0.00092602798954107
5-FU,Histone methyltransferase complex,-0.0027679270919956,1.0,0.1419081585656429,True,True,11,31,435,304,131,0,0,0.1,0,0,0.0,0.0,0.0,0.44088972478208066,2.784085735207757,0.02055793566397677,0.0009159287399891179
5-FU,NeST:80,-0.0539712722224238,1.0,0.4718099527574322,True,True,7,21,189,114,75,0,0,0.1,0,0,0.0,0.0,0.0,0.440854351267281,2.027357560020862,0.029615699296306724,0.0008799966990794365
5-FU,Homologous recombination,-0.0109584134126432,1.0,0.0002506369315357,True,True,12,36,594,403,187,4,0,0.1,0,0,0.0,0.0,0.0,0.4396542339231429,2.8946900917030858,0.02276414730674797,0.0009210792561751355
5-FU,Metabolic pathways,0.0064100611799184,1.0,0.5352050982347,True,True,12,36,594,318,276,0,0,0.1,0,0,0.0,0.0,0.0,0.4394924235015404,2.560917282585111,0.026906686813057523,0.0008899109039210397
5-FU,BAF (SWI/SNF) complex,-0.0581157096871784,1.0,0.0044081269390451,True,True,8,24,252,168,84,0,0,0.1,0,0,0.0,0.0,0.0,0.43673188902361054,2.5058247163250917,0.02508851441172958,0.0008738419968151142
5-FU,Locomotion,0.0774340117320106,1.0,0.3968348686560592,True,True,33,99,4752,2690,2062,0,0,0.1,0,0,0.0,0.0,0.0,0.4363301739537026,4.147069637121473,0.02447860215102588,0.0008997322142864732
5-FU,Metabolism,0.0374580460050105,1.0,0.5979286031115645,True,True,18,54,1377,764,612,1,0,0.1,0,0,0.0,0.0,0.0,0.43576632720905234,3.4212922144059394,0.024161975232496163,0.0008902173077032303
5-FU,RNA processing 1,0.0450816885603446,1.0,0.0589891642555653,True,True,30,90,3915,2001,1905,9,0,0.1,0,0,0.0,0.0,0.0,0.43406832743764007,3.6763783065081834,0.024506029670924585,0.0008941520518461094
5-FU,INSR-FOXO,-0.0317131140022677,1.0,0.2063319675739919,True,True,25,75,2700,1564,1136,0,0,0.1,0,0,0.0,0.0,0.0,0.43066369734671445,3.045857814859694,0.02508529893112724,0.0008818340361189054
5-FU,Nuclear transport,-0.0974731980869052,0.1522433112889409,0.4252962504076479,True,True,7,21,189,115,74,0,0,0.1,0,0,0.0,0.0,0.0,0.4302088931864891,1.730624185070243,0.02580731560827427,0.0008644229300446253
5-FU,Cell-extracellular matrix interactions,0.00460280914513,1.0,0.7646694293837846,True,True,5,15,90,45,45,0,0,0.1,0,0,0.0,0.0,0.0,0.4280227127962333,2.283745207535224,0.030259297450192287,0.0008634755708478147
5-FU,Homologous recombination (HR) and Fanconi Anemia repair,-0.0058282890590003,1.0,1.1404670420862746e-12,True,True,29,86,3570,2212,1353,5,0,0.1,0,0,0.0,0.0,0.0,0.42778193477455545,3.7908386480877603,0.023686580620319024,0.0008687711020810398
