gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
CDKN2B,12,3.3418596469218667e-09,2.3994552264899e-06,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control,5,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control,4,CD437,1,True
BCR,12,3.5810706657061325e-09,2.5712087379770032e-06,True,RTK-JAK-STAT signaling;Transmembrane tyrosine kinase signaling,2,Transmembrane tyrosine kinase signaling,1,CD437,1,True
FLT1,12,3.84121662330013e-09,2.7579935355294935e-06,True,Cell motility;NeST:16;NeST:29;NeST:49;NeST:80,5,NeST:16,1,Bleomycin-a2,1,True
UPF1,12,4.482942911439334e-09,3.218753010413442e-06,True,Chromatin binding;Histone acetyltransferase complex;Nucleolus;RNA metabolism;RNA processing 1;RNA processing 2,6,Chromatin binding;RNA processing 1,2,Doxorubicin,1,True
FANCA,12,4.5784628983894264e-09,3.287336361043608e-06,True,Homologous recombination (HR) and Fanconi Anemia repair,1,Homologous recombination (HR) and Fanconi Anemia repair,1,Methotrexate,1,True
WRN,12,4.6133651162939016e-09,3.312396153499021e-06,True,Checkpoint-regulated DNA repair;Chromatin binding;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair,5,Chromatin binding;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,3,Doxorubicin,1,True
CDKN1A,12,6.637414901052157e-09,4.765663898955449e-06,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;MDM2-p53 pathway;Mismatch and excision repair;Mitosis;p53 regulation of cell cycle,10,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;p53 regulation of cell cycle,6,Methotrexate,1,True
PRCC,12,6.7005029803996695e-09,4.810961139926962e-06,True,Chromatin binding;RNA metabolism,2,Chromatin binding,1,CD437,1,True
PPP1CC,12,1.0674691753945344e-08,7.664428679332757e-06,True,Chromatin binding;Transcription elongation,2,Chromatin binding;Transcription elongation,2,Doxorubicin,1,True
CHEK1,12,1.1047883267230246e-08,7.932380185871317e-06,True,Checkpoint-regulated DNA repair;Chromosome centrometric region;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Regulation of TP53 Activity,6,Chromosome centrometric region;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,3,Doxorubicin,1,True
RPS15,12,1.119216404252591e-08,8.035973782533604e-06,True,Nucleolus;RNA processing 1;Ribosome biogenesis,3,RNA processing 1,1,CD437,1,True
RAF1,12,1.1742120746926451e-08,8.430842696293193e-06,True,EGFR-MAPK signaling;Integrator-PP2A complex;MAPK and MAP2K activation;RAS-RAF-MAPK;Transmembrane tyrosine kinase signaling,5,Transmembrane tyrosine kinase signaling,1,5-FU,1,True
ZNF217,12,1.3756478983107448e-08,9.877151909871147e-06,True,Chromatin binding;Epigenetic modification,2,Chromatin binding;Epigenetic modification,2,CD437,1,True
MED12,12,1.441013574367685e-08,1.0346477463959978e-05,True,Mediator complex;Mediator/CCR-NOT complex,2,Mediator complex;Mediator/CCR-NOT complex,2,CD437,1,True
CDKN2A,12,1.9345695569747092e-08,1.3890209419078412e-05,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;Mitosis,7,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase,5,Gemcitabine,1,True
NEGR1,12,2.7779860689744027e-08,1.994593997523621e-05,True,Cell motility;NeST:16,2,NeST:16,1,Doxorubicin,1,True
