gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
PDGFRB,12,4.291322333822512e-11,3.081169435684564e-08,True,Cell motility;ECM-cytoskeleton assembly;Extracellular matrix;Extracellular matrix organization,4,ECM-cytoskeleton assembly;Extracellular matrix;Extracellular matrix organization,3,Etoposide;Methotrexate,2,True
TET2,12,4.757673158467211e-11,3.4160093277794576e-08,True,Culin-RIng uniqutin ligase complex;Ubiquitin/Proteasome System,2,Culin-RIng uniqutin ligase complex,1,CD437;MK-1775,2,True
DDB2,12,1.0936292092701864e-10,7.852257722559939e-08,True,Culin-RIng uniqutin ligase complex;Ubiquitin/Proteasome System,2,Culin-RIng uniqutin ligase complex,1,Camptothecin;Cisplatin,2,True
PMS1,12,5.784113610752021e-10,4.1529935725199507e-07,True,Extended mismatch repair complex;Mismatch and excision repair;MutL alpha/beta complex,3,Extended mismatch repair complex;MutL alpha/beta complex,2,CD437;Methotrexate,2,True
RAD50,12,6.145728831579805e-10,4.4126333010742996e-07,True,Homologous recombination (HR) and Fanconi Anemia repair,1,Homologous recombination (HR) and Fanconi Anemia repair,1,Doxorubicin;Methotrexate,2,True
MLH1,12,8.752739587251607e-10,6.284467023646654e-07,True,Extended mismatch repair complex;Mismatch and excision repair;MutL alpha/beta complex;MutS homologs,4,Extended mismatch repair complex;MutL alpha/beta complex,2,CD437;Methotrexate,2,True
VHL,12,1.0441710340766974e-09,7.497148024670687e-07,True,Culin-RIng uniqutin ligase complex;Foxo signaling;Nucleolus;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,6,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,3,Doxorubicin;MK-1775,2,True
CDKN1B,12,2.8177896699559204e-09,2.023172983028351e-06,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;EGFR-MAPK signaling;Foxo signaling;G1 to S cell cycle control;G1/S phase;Mismatch and excision repair;Mitosis;Transmembrane tyrosine kinase signaling,11,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;Transmembrane tyrosine kinase signaling,6,Doxorubicin;MK-1775,2,True
CREBBP,12,3.926878594630476e-09,2.8194988309446815e-06,True,Checkpoint-regulated DNA repair;Chromatin binding;Epigenetic modification;Foxo signaling;G1/S phase;HDACs deacetylate histones;Histone deacetylase binding;Mitosis;Nuclear receptor signaling;PML body;Positive regulators of transcription;RNA metabolism;RNA processing 1;RNA processing 2;Regulation of androgen receptor signaling pathway;Regulation of beta catenin transcriptional activity;SMAD-TGFbeta signaling;Transcription factor (TF) binding;p53 regulation of cell cycle,19,Chromatin binding;Epigenetic modification;G1/S phase;Histone deacetylase binding;Positive regulators of transcription;RNA processing 1;Regulation of beta catenin transcriptional activity;Transcription factor (TF) binding;p53 regulation of cell cycle,9,CD437;Olaparib,2,True
SRC,12,4.9703637453073235e-09,3.568721169130658e-06,True,Transmembrane tyrosine kinase signaling,1,Transmembrane tyrosine kinase signaling,1,CD437;Doxorubicin,2,True
KAT6A,12,8.004958326783304e-09,5.747560078630412e-06,True,Histone acetyltransferase complex;Positive regulators of transcription;Regulation of beta catenin transcriptional activity,3,Positive regulators of transcription;Regulation of beta catenin transcriptional activity,2,CD437;Ceralasertib,2,True
CDH2,12,1.6464735840821367e-08,1.1821680333709742e-05,True,EMT;Epithelial differentiation;Regulation of adherens junction stability,3,EMT;Epithelial differentiation,2,Doxorubicin;Methotrexate,2,True
AURKA,12,1.866067907328036e-08,1.33983675746153e-05,True,Chromosome centrometric region;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair,3,Chromosome centrometric region;Homologous recombination (HR) and Fanconi Anemia repair,2,Doxorubicin;Gemcitabine,2,True
BCL2,12,2.3617533362666285e-08,1.6957388954394392e-05,True,Apoptosis Regulation,1,Apoptosis Regulation,1,5-FU;Camptothecin,2,True
TBX3,12,3.180109784304596e-08,2.2833188251307e-05,True,Apoptosis Regulation,1,Apoptosis Regulation,1,5-FU;Camptothecin,2,True
STAG2,12,3.31681109087704e-08,2.3814703632497146e-05,True,Chromatin binding;Cohesin;Extended cohesin complex,3,Chromatin binding,1,Bleomycin-a2;Olaparib,2,True
PARK2,12,3.3294058066849255e-08,2.3905133691997765e-05,True,Ubiquitin regulation of mitophagy;Ubiquitin/Proteasome System,2,Ubiquitin regulation of mitophagy,1,5-FU;MK-1775,2,True
PARP1,12,6.086185519415501e-08,4.3698812029403294e-05,True,Apoptosis Regulation;Chromatin binding;Epigenetic modification;Fas;Histone deacetylase binding;Histone modifications in DNA damage response;Mitosis;PML body;Regulation of TP53 Activity;TNFR/Traf signaling,10,Apoptosis Regulation;Chromatin binding;Epigenetic modification;Fas;Histone deacetylase binding;TNFR/Traf signaling,6,Doxorubicin;Methotrexate,2,True
TOP1,12,7.211937262621429e-08,5.178170954562186e-05,True,Chromatin binding,1,Chromatin binding,1,Doxorubicin;Gemcitabine,2,True
CCND2,12,1.3555229260060327e-07,9.732654608723314e-05,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control,5,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control,4,Etoposide;Methotrexate,2,True
AR,12,1.2e-299,8.616000000000001e-297,True,Foxo signaling;HDACs deacetylate histones;Positive regulators of transcription;Transcription factor (TF) binding,4,Positive regulators of transcription;Transcription factor (TF) binding,2,Doxorubicin,1,True
DPYD,12,1.2e-299,8.616000000000001e-297,True,Cell motility;Extracellular matrix organization,2,Extracellular matrix organization,1,Doxorubicin,1,True
TRAF2,12,1.2e-299,8.616000000000001e-297,True,TNFR/Traf signaling,1,TNFR/Traf signaling,1,Methotrexate,1,True
RB1,12,5.3290705173343115e-15,3.826272631446036e-12,True,CDK holoenzyme complex I;Cell Proliferation;Checkpoint-regulated DNA repair;Chromatin binding;Cyclin D associated events in G1;Epigenetic modification;G1/S phase;MDM2-p53 pathway;Mismatch and excision repair;Mitosis;Oncogene induced senescence;PML body;Regulation of E2F transcription via DREAM complex;Transcription factor (TF) binding,14,CDK holoenzyme complex I;Chromatin binding;Cyclin D associated events in G1;Epigenetic modification;G1/S phase;Transcription factor (TF) binding,6,Etoposide,1,True
HRAS,12,1.8651746813471456e-14,1.3391954212072504e-11,True,EGFR-MAPK signaling;MAPK and MAP2K activation;MAPK signaling;Nucleolus;RAS-RAF-MAPK;RNA processing 1;Ribosome abundance control;Ribosome biogenesis;Transmembrane tyrosine kinase signaling,9,MAPK signaling;RNA processing 1;Transmembrane tyrosine kinase signaling,3,Methotrexate,1,True
MDM2,12,1.8651746813690115e-14,1.3391954212229502e-11,True,Chromatin binding;Culin-RIng uniqutin ligase complex;Cyclin D associated events in G1;Homologous recombination (HR) and Fanconi Anemia repair;MDM2-p53 pathway;Mitosis;Oncogene induced senescence;RNA processing 1;Regulation of E2F transcription via DREAM complex;Regulation of TP53 Activity;Regulation of nuclear protein ubiquitiation;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,13,Chromatin binding;Culin-RIng uniqutin ligase complex;Cyclin D associated events in G1;Homologous recombination (HR) and Fanconi Anemia repair;RNA processing 1;Ubiquitin regulation of p53 activity,6,Doxorubicin,1,True
PIK3R3,12,1.172395511181277e-13,8.417799770281569e-11,True,INSR-FOXO,1,INSR-FOXO,1,Gemcitabine,1,True
CHD2,12,1.625366469019761e-13,1.1670131247561885e-10,True,Chromatin binding;PcG protein complex;Transcription elongation,3,Chromatin binding;PcG protein complex;Transcription elongation,3,MK-1775,1,True
BCL2L11,12,2.478017763835017e-13,1.7792167544335424e-10,True,Apoptosis Regulation,1,Apoptosis Regulation,1,5-FU,1,True
NUP98,12,3.0642155150943075e-13,2.2001067398377127e-10,True,Nuclear pore;Nuclear transport;Protein nuclear transport,3,Nuclear pore,1,Gemcitabine,1,True
CALR,12,1.1217691818306272e-12,8.054302725543903e-10,True,Endoplasmic Reticulum protein processing;Protein Transport,2,Protein Transport,1,Bleomycin-a2,1,True
CASR,12,1.2896350647483556e-12,9.259579764893193e-10,True,Actin filament-based process;Cell motility;Cell-extracellular matrix interactions;Locomotion,4,Actin filament-based process,1,Doxorubicin,1,True
MCL1,12,7.647216191978847e-12,5.490701225840812e-09,True,Apoptosis Regulation,1,Apoptosis Regulation,1,5-FU,1,True
