ID	Annotation	All_Genes	Size_All
NeST:112	Transcription factor (TF) binding	"AR,CHD4,CREBBP,CTNNB1,DAXX,EP300,HDAC1,HDAC2,MYB,PML,RB1,RBL1,REL,SMAD2"	14
NeST:117	Regulation of TP53 Activity	"BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53"	11
NeST:119	Regulation of E2F transcription via DREAM complex	"E2F1,E2F2,E2F3,E2F4,E2F5,MDM2,RB1,RBL1,RBL2,TFDP1,TP53"	11
NeST:12	Protein Transport	"ARFRP1,CALR,CFTR,EGFR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,SEC23B,TNF,TRAF3,TUSC3"	15
NeST:121	Extended cohesin complex	"RAD21,SMARCA4,SMC1A,SMC3,STAG1,STAG2"	6
NeST:123	PML body	"CREBBP,DAXX,EP300,HDAC1,NPM1,PARP1,PML,RB1,TERT"	9
NeST:125	Extended mismatch repair complex	"ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4"	10
NeST:126	Regulation of beta catenin transcriptional activity	"CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53"	10
NeST:127	Fas	"CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53"	7
NeST:129	BAF (SWI/SNF) complex	"ARID1A,ARID1B,ARID2,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2"	8
NeST:13	Ribosome biogenesis	"ASNS,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,RPL5,RPS15,SHQ1,XPC"	18
NeST:130	Homologous recombination	"BARD1,BLM,BRCA1,BRCA2,BUB1B,CHEK1,FANCD2,RAD51,RAD51C,TOP2A,TP53,WRN"	12
NeST:132	Cell Proliferation	"EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53"	14
NeST:133	Histone methyltransferase subcomplex	"EP300,KDM6A,KMT2A,KMT2B,KMT2D,MEN1"	6
NeST:134	RPA complex associated proteins	"ATM,ATR,BLM,BRCA1,XPA,XPC"	6
NeST:137	mTOR regulation of autophagy/ribosome biogenesis	"AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1"	8
NeST:138	PIK3/AKT signaling	"AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN"	11
NeST:14	Locomotion	"ACTA2,ARHGAP26,CASR,CBL,CDH1,CHEK2,DNM2,EGFR,ESR1,GNA11,GNA13,GNAQ,GNAS,HSP90AA1,LATS1,LMNA,MAPK1,MYH11,NFE2L2,PAK1,PAK3,PALLD,PIK3CA,PIK3R1,PPP1CB,PREX2,RAC1,RHOA,RHPN2,SLIT2,SPRED1,TNF,TPM1"	33
NeST:142	Regulation of adherens junction stability	"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2"	10
NeST:145	mTOR regulation of mRNA translation	"AKT1,MTOR,RICTOR,RPS6KB1,RPTOR"	5
NeST:146	SMAD-TGFbeta signaling	"CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1"	6
NeST:15	Cellular response to DNA damage	"AR,ARID1A,ATM,ATR,AURKA,AURKB,BARD1,BCL11B,BLM,BRCA1,BRCA2,BRD4,BRIP1,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC73,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHD4,CHEK1,CHEK2,CKS1B,CREBBP,CTNNB1,DAXX,DNMT1,DNMT3A,DNMT3B,E2F1,E2F2,E2F4,E2F5,EED,EMSY,EP300,EZH2,FANCA,FANCC,FANCD2,FANCE,FANCG,FANCI,FANCL,FANCM,H3F3A,HDAC1,HDAC2,HDAC3,HIF1A,HIST3H3,HLA-A,IKZF1,ING1,IRF2,JUN,KDM5A,MDC1,MDM2,MDM4,MKI67,MLH1,MLH3,MRE11,MSH2,MSH3,MSH6,MTA1,MYB,MYC,NBN,NPM1,PALB2,PARP1,PML,PMS1,PMS2,POLD1,POLE,POLH,PPP1CA,PPP1CC,PRKDC,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD54L,RB1,RBL1,RBL2,REL,RUNX1,SMAD2,SMARCA4,SMARCB1,SMARCE1,SMC3,SOX2,STAT3,TAF1,TERT,TFDP1,TNF,TOP2A,TP53,TP63,TYMS,UBE2T,WRN,XPC,XRCC1,XRCC2,XRCC3,YEATS4,ZBTB2"	128
