ID	Annotation	All_Genes	Size_All
NeST:3	Regulation of cellular homeostasis	"ABL1,ACVR1B,AKT1,AMER1,ANKRD11,AR,ARAF,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,AURKA,AURKB,AXIN2,BAP1,BARD1,BCL11B,BCL2L12,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BLM,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BUB1B,CASP8,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC73,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEP57,CHD2,CHD4,CHEK1,CHEK2,CIC,CKS1B,CREBBP,CRKL,CTC1,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDB2,DDX3X,DICER1,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EED,EGLN1,ELOC,EMSY,EP300,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FBXW7,FOXL2,FOXO3,FRS2,FUBP1,FUS,GATA1,GATA3,GEN1,GID4,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HRAS,HSP90AA1,HSPH1,IKZF1,ING1,INHBA,IRF2,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LATS1,LEF1,LMNA,MAD2L2,MAGI2,MAP3K7,MAX,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEN1,MGA,MGMT,MIB1,MKI67,MLH1,MLH3,MLLT3,MRE11,MSH2,MSH3,MSH6,MTA1,MTOR,MUTYH,MYB,MYC,MYCL,MYCN,NBN,NCOA3,NCOR1,NCOR2,NF1,NF2,NHP2,NKX3-1,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARK2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PIK3C3,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAB35,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RHOA,RICTOR,RINT1,RPL5,RPS15,RPS6KB1,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOCS1,SOX2,SPEN,SRSF2,STAG1,STAG2,STAT3,STK11,SUZ12,TAF1,TAP2,TBL1XR1,TCF3,TERT,TET2,TFDP1,TGFBR1,TNF,TOP1,TOP2A,TP53,TP63,TRAF7,TSC1,TSC2,TYMS,U2AF1,UBE2T,UMPS,UPF1,VHL,WEE1,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YEATS4,ZBTB2,ZNF217,ZRSR2"	323
NeST:30	Mismatch and excision repair	"AURKA,AURKB,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CCNE1,CDKN1A,CDKN1B,CHEK1,CKS1B,FANCD2,MKI67,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,POLD1,POLE,RAD51,RAD51C,RB1,TERT,TOP2A,TP53,WRN,XRCC2"	32
NeST:31	Extracellular matrix	"ACTA2,CD276,FANCC,FGF10,GREM1,PALLD,PDGFRB,TNF"	8
NeST:32	Ubiquitin/Proteasome System	"AURKB,CCND1,CUL3,DDB2,ELOC,ETV4,ETV5,FBXO11,FBXW7,HSP90AA1,MDM2,NF2,PARK2,PRAME,RIT1,SKP1,STK11,TET2,TNF,TP53,VHL"	21
NeST:33	Ribosome abundance control	"CDC73,CHEK2,DKC1,FUS,HRAS,NPM1,RHOA,RPL5,SF3B1,TERT,TNF,XPC"	12
NeST:34	Epigenetic modification	"BARD1,BCL11B,BRD4,CHD4,CREBBP,DNMT1,DNMT3A,DNMT3B,E2F1,EMSY,EZH2,HDAC1,HDAC2,HDAC3,HIST3H3,ING1,IRF2,KDM5A,MTA1,PALB2,PARP1,PHF6,PRDM1,RB1,RUNX1,SMARCA1,TERT,TP53,ZBTB2,ZNF217"	30
NeST:35	Spliceosomal complex	"CDC73,PRPF40B,RBM10,SF1,SF3B1,ZRSR2"	6
NeST:36	Interferon signaling	"IFIT1,IFIT2,IFIT3,IRF2,PML,TAP1,TAP2,TNF"	8
NeST:38	Transmembrane tyrosine kinase signaling	"ABL1,AKT1,ARAF,BCAR1,BCR,BRAF,BTK,CBL,CBLB,CDKN1B,CRKL,CSF3R,EGF,EGFR,EPHB2,ERBB2,ERBB3,ERBB4,FGFR1,FRS2,FYN,GSK3B,HLA-A,HRAS,IFNAR1,IFNAR2,IFNGR1,INPPL1,IRS1,JAK1,JAK2,KRAS,MAP2K1,MAP2K2,MAPK1,NRAS,PDGFRA,PIK3R1,PLCG2,PTK2,PTPN11,RAF1,RASA1,RET,SRC,STAT3,STAT5A,STAT5B,STAT6,SYK,TNF,TP53,TSC2"	53
NeST:39	Regulation of mRNA processing	"BCLAF1,CASP8,RBM10,SF1,SPEN,SRSF2,U2AF1"	7
NeST:4	Nucleus	"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CCDC6,CDC73,CDK12,CDK8,CDKN1A,CHD2,CHD4,CHEK2,CREBBP,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDX3X,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,ELOC,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FOXL2,FUBP1,FUS,GATA1,GATA3,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIST1H1C,HIST1H1E,HIST3H3,HRAS,HSP90AA1,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MDM4,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOA3,NCOR1,NCOR2,NF1,NHP2,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PML,PNRC1,POT1,PPP1CA,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R2A,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAD21,RAD50,RAF1,RANBP2,RARA,RB1,RBL1,RBM10,REL,RHOA,RPL5,RPS15,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TCF3,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UMPS,UPF1,VHL,WRN,WT1,XPA,XPC,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2"	194
NeST:40	Actin filaments	"ACTA2,CBL,MYH11,PALLD,PIK3CA,PPP1CB,TNF,TPM1"	8
NeST:42	Transcription elongation	"CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT"	8
NeST:43	Type I interferon signaling pathway	"IFIT1,IFIT2,IFIT3,PML,TAP1,TAP2,TNF"	7
NeST:44	Nuclear transport	"DAXX,GATA3,NUP93,NUP98,RANBP2,TERT,XPO1"	7
NeST:45	Mediator/CCR-NOT complex	"BTG1,CDK8,DICER1,ESR1,FBXW7,MED1,MED12,PNRC1,RARA"	9
NeST:47	Apoptosis Regulation	"BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53"	13
NeST:48	Actin cytoskeleton	"MYH11,NFE2L2,PIK3CA,PPP1CB,TPM1"	5
NeST:49	NeST:49	"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA,VSIR"	8
NeST:5	Cell motility	"ABL1,ABL2,ACTA2,ADGRA2,ARHGAP26,ARID5B,BCL2L12,CASR,CBL,CBLB,CBR3,CD276,CDH1,CHEK2,CSF1R,CUL3,DMD,DNM2,DPYD,EBF1,EGF,EGFR,ENG,EPCAM,ERG,ERRFI1,ESR1,EXT2,FANCC,FCGR2A,FGF10,FGF19,FGF23,FLT1,FLT4,FOXA1,FOXP1,GNA11,GNA13,GNAQ,GNAS,GPC3,GREM1,HSP90AA1,IL2RA,INHBA,KDR,LATS1,LMNA,MAPK1,MYH11,NEGR1,NF2,NFE2L2,NOTCH4,PAK1,PAK3,PAK5,PALLD,PDGFRA,PDGFRB,PIK3CA,PIK3R1,PLK2,PPP1CB,PREX2,QKI,RAC1,RET,RHOA,RHPN2,SETBP1,SH2B3,SLIT2,SOX17,SPRED1,TNF,TPM1,VEGFA,VSIR"	80
NeST:50	Checkpoint-regulated DNA repair	"BARD1,BLM,BRCA1,BRCA2,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHEK1,CKS1B,CREBBP,CTNNB1,E2F1,E2F4,EP300,FANCD2,HDAC1,HLA-A,MSH2,MSH6,MYC,RAD51,RAD51C,RB1,RBL1,RBL2,TERT,TOP2A,TP53,WRN"	41
NeST:51	ECM-cytoskeleton assembly	"ACTA2,FANCC,FGF10,PALLD,PDGFRB,TNF"	6
NeST:52	INSR-FOXO	"ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2"	25
NeST:53	Integrator-PP2A complex	"AKT1,ARAF,BRAF,CCDC6,MYC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,RAF1"	12
NeST:54	Cell-extracellular matrix interactions	"ACTA2,CASR,MYH11,PALLD,TPM1"	5
NeST:55	Histone deacetylase binding	"BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2"	16
NeST:57	Histone acetyltransferase complex	"DKC1,HDAC1,HDAC2,KAT6A,KDM5A,MAX,MYC,MYCL,MYCN,PALB2,TERT,TNF,UPF1,YEATS4"	14
NeST:58	Cyclin D associated events in G1	"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CKS1B,E2F1,E2F2,E2F3,E2F4,E2F5,HLA-A,MDM2,RB1,RBL1,RBL2,TFDP1,TP53"	27
NeST:59	Chromosome centrometric region	"AURKA,AURKB,BUB1B,CHEK1,MKI67,RAD51,TOP2A"	7
NeST:6	Transcription	"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASXL1,ASXL2,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CDC73,CDK12,CDK8,CHD2,CHD4,CREBBP,CTCF,CTNNB1,CUX1,DAXX,DDX3X,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FUBP1,FUS,GATA1,GATA3,HDAC1,HDAC2,HDAC3,HDAC5,HIST1H1E,HIST3H3,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOR1,NF1,NPM1,NSD1,NUP98,PALB2,PARP1,PBRM1,PHF6,PML,PPP1CA,PPP1CC,PPP2R1A,PRCC,PRDM1,PRKDC,PRPF40B,PTPN11,RAD21,RANBP2,RARA,RB1,RBL1,RBM10,REL,RSF1,RUNX1,SETD2,SF1,SF3B1,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UPF1,WRN,WT1,XPA,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2"	146
NeST:60	Nuclear receptor signaling	"ANKRD11,BCL6,CEBPA,CREBBP,ESR2,GPS2,HDAC3,HDAC5,NCOA3,NCOR1,NCOR2,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1"	17
NeST:61	Culin-RIng uniqutin ligase complex	"CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL"	8
NeST:63	Actin and actin-associated proteins	"CBL,MYH11,PIK3CA,PPP1CB,TPM1"	5
NeST:65	Mitosis	"ATM,ATR,BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CHEK2,CKS1B,CREBBP,E2F1,E2F2,E2F4,E2F5,EP300,HDAC1,MDM2,MDM4,MYC,NPM1,PARP1,RB1,RBL1,RBL2,TFDP1,TP53,TP63"	29
NeST:66	PcG protein complex	"BCOR,BCORL1,CHD2,E2F6,EED,EZH2,MGA,TFDP1,TNF"	9
NeST:69	Protein nuclear transport	"DAXX,NUP93,NUP98,RANBP2,TERT,XPO1"	6
NeST:7	Metabolism	"ABCC3,APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,FGF19,FGF23,GATA1,GPC3,HGF,HNF1A,HNF1B,IDH1,MST1,SPTA1,TPMT"	18
NeST:70	Regulation of nuclear protein ubiquitiation	"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53"	11
NeST:73	EGFR-MAPK signaling	"ABL1,AKT1,ARAF,BRAF,CBL,CDC25A,CDKN1B,EGFR,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MDM4,MYC,RAF1,STAT3,STAT5A,TNF,TSC1,TSC2"	23
NeST:77	Ubiquitin regulation of mitophagy	"CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL"	8
NeST:78	NeST:78	"ASXL2,ATRX,CDK12,GATA1,MGA,NF1,NSD1,RSF1,SETD2,SPEN"	10
NeST:79	Homologous recombination (HR) and Fanconi Anemia repair	"ATM,AURKA,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CDC73,CHEK1,FANCA,FANCD2,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51,RAD51B,RAD51C,RAD51D,TOP2A,TP53,WRN,XRCC2,XRCC3"	29
NeST:8	Immune system	"AXL,B2M,BIRC3,BTK,CARD11,CD19,CD22,CD274,CD40,CD70,CD79A,CD79B,CIITA,CSF1R,CSF3R,CTLA4,CXCR4,CYLD,FAM46C,FAS,FCGR2A,FCGR3A,FLT3,FOXP1,FYN,GATA3,HAVCR2,HGF,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFNGR2,IGF1,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,IRF1,IRF4,JAK2,JAK3,KIT,KLHL6,LAG3,LYN,MAFB,MS4A1,MYD88,NFKBIA,NKX2-1,NTRK3,P2RY8,PCBP1,PDCD1,PDCD1LG2,PHOX2B,PIK3CD,PIK3CG,PLCG2,POU2F2,PRDM1,PRF1,PTPN22,SH2D1A,SOD2,STAT4,STAT5A,SYK,TAP1,TAP2,TIGIT,TLR4,TMEM173,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,VSIR"	99
NeST:80	NeST:80	"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA"	7
NeST:81	TGF-beta/Smad signaling	"PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2"	7
NeST:82	Extended PRC1 complex	"BCOR,BCORL1,E2F6,EED,EZH2,MGA,TFDP1,TNF"	8
NeST:83	TNFR/Traf signaling	"BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3"	12
NeST:84	Lymphoid JAK/STAT signaling	"CSF3R,EPOR,IFNAR2,IL6R,IRS1,IRS2,JAK1,JAK2,JAK3,PIK3R1,PTPN11,SOCS1,STAT3,STAT5A,STAT5B,STAT6"	16
NeST:85	Positive regulators of transcription	"AR,BCL6,CREBBP,EP300,HDAC1,HDAC2,KAT6A,MYC,PML,RUNX1,TBL1XR1,TERT,TNF,TP53,YEATS4"	15
NeST:89	RTK-JAK-STAT signaling	"BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A"	21
NeST:9	Nucleolus	"ASNS,ATIC,CDC73,CDK8,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,FUS,GSTP1,HDAC1,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,PPP2CA,PPP2CB,RHOA,RPL5,RPS15,SF3B1,SHQ1,TERT,TNF,TOP2A,UMPS,UPF1,VHL,XPC"	34
NeST:90	Mediator complex	"CDK8,ESR1,FBXW7,MED1,MED12,RARA"	6
NeST:91	G1/S phase	"BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CKS1B,CREBBP,CTNNB1,E2F1,EP300,HDAC1,HLA-A,MYC,RB1,RBL1,TOP2A,TP53"	19
NeST:92	Polybromo- and BAF containing complex	"ARID1A,ARID1B,ARID2,BCL7A,CHD4,HDAC2,MYC,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2"	12
NeST:93	Nuclear pore	"NUP93,NUP98,RANBP2,TERT,XPO1"	5
NeST:94	p53 regulation	"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53"	11
NeST:97	Cell projection morphogenesis	"EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,PTPRD,SLIT2"	8
NeST:98	Histone methyltransferase complex	"CTNNB1,EP300,HIST3H3,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,MAGI2,MEN1,TNF"	11
