All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CCDC6,CDC73,CDK12,CDK8,CDKN1A,CHD2,CHD4,CHEK2,CREBBP,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDX3X,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,ELOC,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FOXL2,FUBP1,FUS,GATA1,GATA3,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIST1H1C,HIST1H1E,HIST3H3,HRAS,HSP90AA1,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MDM4,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOA3,NCOR1,NCOR2,NF1,NHP2,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PML,PNRC1,POT1,PPP1CA,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R2A,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAD21,RAD50,RAF1,RANBP2,RARA,RB1,RBL1,RBM10,REL,RHOA,RPL5,RPS15,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TCF3,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UMPS,UPF1,VHL,WRN,WT1,XPA,XPC,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2",Regulation of biogenesis,"CCDC6,CUL3,ELOC,H3F3A,H3F3C,HSP90AA1,PCBP1,PIAS4,PNRC1,POT1,PPP2R2A,PRKCZ,RAD50,RAF1,RXRA,SKP1,SLX4",Regulation of biogenesis,NEST:4,Regulation of biogenesis,2.287801729930226,194,17
"CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1",SMAD-TGFbeta signaling,"CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1",SMAD-TGFbeta signaling,NEST:146,SMAD-TGFbeta signaling,0.7781512503836436,6,6
"ATM,ATR,BLM,BRCA1,XPA,XPC",RPA complex associated proteins,"ATM,ATR,BLM,BRCA1,XPA,XPC",RPA complex associated proteins,NEST:134,RPA complex associated proteins,0.7781512503836436,6,6
"ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4",Extended mismatch repair complex,"ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4",Extended mismatch repair complex,NEST:125,Extended mismatch repair complex,1,10,10
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CKS1B,E2F1,E2F2,E2F3,E2F4,E2F5,HLA-A,MDM2,RB1,RBL1,RBL2,TFDP1,TP53",Cyclin D associated events in G1,,Cyclin D associated events in G1,NEST:58,Cyclin D associated events in G1,1.4313637641589874,27,
"BCLAF1,CASP8,CDC73,CHEK2,CREBBP,CTCF,DDX3X,DKC1,EP300,EWSR1,FUS,HRAS,MDM2,NHP2,NPM1,PA2G4,PRPF40B,RBM10,RPL5,RPS15,SF1,SF3B1,SRSF2,TERT,TNF,TP53,U2AF1,UPF1,XPC,ZRSR2",Ribo- nucleoprotein complexes II,"CHEK2,CTCF,DDX3X,DKC1,EP300,HRAS,MDM2,NHP2,NPM1,PA2G4,RPL5,RPS15,TERT,TP53,XPC",Ribonucleoprotein complexes II,NEST:17,Ribonucleoprotein complexes II,1.4771212547196624,30,15
"ASNS,ATIC,CDC73,CDK8,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,FUS,GSTP1,HDAC1,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,PPP2CA,PPP2CB,RHOA,RPL5,RPS15,SF3B1,SHQ1,TERT,TNF,TOP2A,UMPS,UPF1,VHL,XPC",Ribo- nucleoprotein complexes,"ATIC,CDK8,GSTP1,HDAC1,PPP2CA,PPP2CB,TOP2A,UMPS,UPF1,VHL",Ribonucleoprotein complexes,NEST:9,Ribonucleoprotein complexes,1.5314789170422551,34,10
"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASXL1,ASXL2,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CDC73,CDK12,CDK8,CHD2,CHD4,CREBBP,CTCF,CTNNB1,CUX1,DAXX,DDX3X,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FUBP1,FUS,GATA1,GATA3,HDAC1,HDAC2,HDAC3,HDAC5,HIST1H1E,HIST3H3,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOR1,NF1,NPM1,NSD1,NUP98,PALB2,PARP1,PBRM1,PHF6,PML,PPP1CA,PPP1CC,PPP2R1A,PRCC,PRDM1,PRKDC,PRPF40B,PTPN11,RAD21,RANBP2,RARA,RB1,RBL1,RBM10,REL,RSF1,RUNX1,SETD2,SF1,SF3B1,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UPF1,WRN,WT1,XPA,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2",Reg. of transcription,"ANKRD11,ASXL1,ATM,ATR,BAP1,CUX1,DOT1L,ERCC2,ERCC3,ERCC5,ERCC6,FANCD2,HDAC5,LATS1,MAP3K7,MLLT3,MSH3,NCOR1,NUP98,PPP1CA,PPP2R1A,WT1,XPA",Regulation of transcription,NEST:6,Regulation of transcription,2.164352855784437,146,23
"AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL",CBP and p300 binds NF-kB complex,"AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL",CBP and p300 binds NF-kB complex,NEST:168,CBP and p300 binds NF-kB complex,1,10,10
"CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53",NEST:126,"CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53",NEST:126,NEST:126,NEST:126,1,10,10
