All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"AURKB,CCND1,CUL3,DDB2,ELOC,ETV4,ETV5,FBXO11,FBXW7,HSP90AA1,MDM2,NF2,PARK2,PRAME,RIT1,SKP1,STK11,TET2,TNF,TP53,VHL",Ubiquitination and neddylation,"AURKB,CCND1,ETV4,ETV5,FBXO11,PRAME,RIT1,TP53",Ubiquitination and neddylation,NEST:32,Ubiquitination and neddylation,1.3222192947339193,21,8
"ARAF,BRAF,CDC25A,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MYC,RAF1,STAT3,STAT5A",MAPK and MAP2K activation,"CDC25A,HDAC4,HDAC5,MAP2K2,MYC,STAT3,STAT5A",MAPK and MAP2K activation,NEST:104,MAPK and MAP2K activation,1.146128035678238,14,7
"APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2",Beta-catenin-TCF complex,"APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2",Beta-catenin-TCF complex,NEST:182,Beta-catenin-TCF complex,0.8450980400142568,7,7
"BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53",Apoptosis,"BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53",Apoptosis,NEST:47,Apoptosis,1.1139433523068367,13,13
"PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2",TGF-beta pathway/SMAD protein complex,"PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2",TGF-beta pathway/SMAD protein complex,NEST:81,TGF-beta pathway/SMAD protein complex,0.8450980400142568,7,7
"E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53",Oncogene induced senescence,"E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53",Oncogene induced senescence,NEST:199,Oncogene induced senescence,0.8450980400142568,7,7
"BCLAF1,CASP8,CDC73,CREBBP,EWSR1,FUS,PRPF40B,RBM10,SF1,SF3B1,SRSF2,TNF,U2AF1,UPF1,ZRSR2",Spliceosomal-snRNP complex,"BCLAF1,CASP8,CREBBP,EWSR1,FUS,SRSF2,TNF,U2AF1,UPF1",Spliceosomal-snRNP complex,NEST:26,Spliceosomal-snRNP complex,1.1760912590556813,15,9
"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA,VSIR",NEST:49,VSIR,NEST:49,NEST:49,NEST:49,0.9030899869919435,8,1
"BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53",Regulation of TP53,"BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53",Regulation of TP53 Activity,NEST:117,Regulation of TP53 Activity,1.0413926851582251,11,11
"C8orf34,CBL,GALNT12,MYOD1,TPM1",Contractile fiber,"C8orf34,CBL,GALNT12,MYOD1,TPM1",Contractile fiber,NEST:27,Contractile fiber,0.6989700043360189,5,5
"ACTA2,CD276,FANCC,FGF10,GREM1,PALLD,PDGFRB,TNF",Extracellular matrix,"CD276,GREM1",Extracellular matrix,NEST:31,Extracellular matrix,0.9030899869919435,8,2
"BCLAF1,CASP8,RBM10,SF1,SPEN,SRSF2,U2AF1",Regulation of mRNA processing,"BCLAF1,CASP8,RBM10,SF1,SPEN,SRSF2,U2AF1",Regulation of mRNA processing,NEST:39,Regulation of mRNA processing,0.8450980400142568,7,7
"B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP2",MHC class I including non-classical MHCs,"B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TAP2",MHC class I including non-classical MHCs,NEST:202,MHC class I including non-classical MHCs,0.9030899869919435,8,8
"CDC73,PRPF40B,RBM10,SF1,SF3B1,ZRSR2",Spliceosomal complex,"CDC73,PRPF40B,RBM10,SF1,SF3B1,ZRSR2",Spliceosomal complex,NEST:35,Spliceosomal complex,0.7781512503836436,6,6
"ACTA2,CASR,MYH11,PALLD,TPM1",Cell-extracellular matrix interactions,"ACTA2,CASR,MYH11,PALLD,TPM1",Cell-extracellular matrix interactions,NEST:54,Cell-extracellular matrix interactions,0.6989700043360189,5,5
"MYH11,NFE2L2,PIK3CA,PPP1CB,TPM1",Actin cytoskeleton,"MYH11,NFE2L2,PIK3CA,PPP1CB,TPM1",Actin cytoskeleton,NEST:48,Actin cytoskeleton,0.6989700043360189,5,5
"ACTA2,CBL,MYH11,PALLD,PIK3CA,PPP1CB,TNF,TPM1",Actin filaments,"ACTA2,PALLD,TNF",Actin filaments,NEST:40,Actin filaments,0.9030899869919435,8,3
"BRCA1,BRIP1,MLH1,PMS1,PMS2",MutL alpha/beta complex,"BRCA1,BRIP1,MLH1,PMS1,PMS2",MutL alpha/beta complex,NEST:277,MutL alpha/beta complex,0.6989700043360189,5,5
"MLH1,MSH2,MSH3,MSH6,PMS2",MutS homologs,"MLH1,MSH2,MSH3,MSH6,PMS2",MutS homologs,NEST:231,MutS homologs,0.6989700043360189,5,5
"BARD1,BLM,BRCA1,BRCA2,BUB1B,CHEK1,FANCD2,RAD51,RAD51C,TOP2A,TP53,WRN",Homologous recombination,"CHEK1,TOP2A,WRN",Homologous recombination,NEST:130,Homologous recombination,1.0791812460476249,12,3
"AURKA,AURKB,BUB1B,CHEK1,MKI67,RAD51,TOP2A",Chromosome centrometric region,"AURKA,AURKB,BUB1B,CHEK1,MKI67,RAD51,TOP2A",Chromosome centrometric region,NEST:59,Chromosome centrometric region,0.8450980400142568,7,7
"DAXX,NUP93,NUP98,RANBP2,TERT,XPO1",SUMOylation for nuclear transport,DAXX,SUMOylation for nuclear transport,NEST:69,SUMOylation for nuclear transport,0.7781512503836436,6,1
"CBL,MYH11,PIK3CA,PPP1CB,TPM1",Actin and actin-associated proteins,"CBL,MYH11,PIK3CA,PPP1CB,TPM1",Actin and actin-associated proteins,NEST:63,Actin and actin-associated proteins,0.6989700043360189,5,5
"IFIT1,IFIT2,IFIT3,PML,TAP1,TAP2,TNF",Type I interferon signaling pathway,"IFIT1,IFIT2,IFIT3,PML,TAP1,TAP2,TNF",Type I interferon signaling pathway,NEST:43,Type I interferon signaling pathway,0.8450980400142568,7,7
"ACTA2,FANCC,FGF10,PALLD,PDGFRB,TNF",ECM-cytoskeleton assembly,"ACTA2,FANCC,FGF10,PALLD,PDGFRB,TNF",ECM-cytoskeleton assembly,NEST:51,ECM-cytoskeleton assembly,0.7781512503836436,6,6
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CKS1B,HLA-A,TP53",CDK holoenzyme complex II,"CDK5,CDKN1C,CKS1B,HLA-A",CDK holoenzyme complex II,NEST:102,CDK holoenzyme complex II,1.2304489213782739,17,4
"E2F1,E2F4,RBL1,RBL2,TP53",RBL-TP53 complex,"E2F1,E2F4,RBL1,RBL2,TP53",RBL-TP53 complex,NEST:293,RBL-TP53 complex,0.6989700043360189,5,5
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CKS1B,RB1,TP53",CDK holoenzyme complex I,"CKS1B,RB1",CDK holoenzyme complex I,NEST:110,CDK holoenzyme complex I,1.1760912590556813,15,2
"BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CKS1B,CREBBP,CTNNB1,E2F1,EP300,HDAC1,HLA-A,MYC,RB1,RBL1,TOP2A,TP53",Reg. of CDK activity II,"BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,CTNNB1,E2F1,HDAC1,HLA-A,MYC,RB1,TOP2A",NEST:91,NEST:91,NEST:91,1.2787536009528289,19,14
"BCOR,BCORL1,E2F6,EED,EZH2,MGA,TFDP1,TNF",Extended PRC1 complex,"BCOR,BCORL1,E2F6,EED,EZH2,MGA,TFDP1,TNF",Extended PRC1 complex,NEST:82,Extended PRC1 complex,0.9030899869919435,8,8
"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA",NEST:80,"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA",NEST:80,NEST:80,NEST:80,0.8450980400142568,7,7
"ANKRD11,CREBBP,NCOA3,NCOR1,NCOR2",Regulation of androgen receptor signaling pathway,"ANKRD11,CREBBP,NCOA3,NCOR1,NCOR2",Regulation of androgen receptor signaling pathway,NEST:210,Regulation of androgen receptor signaling pathway,0.6989700043360189,5,5
"E2F1,E2F2,E2F3,E2F4,E2F5,MDM2,RB1,RBL1,RBL2,TFDP1,TP53",Reg. of E2F transcr. via DREAM,"E2F3,E2F5",Regulation of E2F transcription via DREAM complex,NEST:119,Regulation of E2F transcription via DREAM complex,1.0413926851582251,11,2
"EP300,KDM6A,KMT2A,KMT2B,KMT2D,MEN1",Histone methyltransferase subcomplex,"EP300,KDM6A,KMT2A,KMT2B,KMT2D,MEN1",Histone methyltransferase subcomplex,NEST:133,Histone methyltransferase subcomplex,0.7781512503836436,6,6
"ARID1A,ARID1B,ARID2,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2",BAF (SWI/SNF) complex,"ARID1A,ARID1B,ARID2,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2",BAF (SWI/SNF) complex,NEST:129,BAF (SWI/SNF) complex,0.9030899869919435,8,8
"E2F1,HIST3H3,MED1,TAF1,TP53",Transcription coactivator activity,"E2F1,HIST3H3,MED1,TAF1,TP53",Transcription coactivator activity,NEST:165,Transcription coactivator activity,0.6989700043360189,5,5
"NUP93,NUP98,RANBP2,TERT,XPO1",tRNA transport,"NUP93,NUP98,RANBP2,TERT,XPO1",tRNA transport,NEST:93,tRNA transport,0.6989700043360189,5,5
"ACTA2,ARHGAP26,CASR,CBL,CDH1,CHEK2,DNM2,EGFR,ESR1,GNA11,GNA13,GNAQ,GNAS,HSP90AA1,LATS1,LMNA,MAPK1,MYH11,NFE2L2,PAK1,PAK3,PALLD,PIK3CA,PIK3R1,PPP1CB,PREX2,RAC1,RHOA,RHPN2,SLIT2,SPRED1,TNF,TPM1",Cytoskeleton,"ARHGAP26,CDH1,CHEK2,DNM2,EGFR,ESR1,GNA11,GNA13,GNAQ,GNAS,HSP90AA1,LATS1,LMNA,MAPK1,PAK1,PAK3,PIK3R1,PREX2,RHOA,RHPN2,SLIT2,SPRED1",Cytoskeleton,NEST:14,Cytoskeleton,1.5185139398778875,33,22
"ATM,ATR,CDKN1A,CHEK2,MDM2,MDM4,RB1,TP53",MDM2-p53 pathway,"ATM,ATR,CDKN1A,CHEK2,MDM2,MDM4,RB1,TP53",MDM2-p53 pathway,NEST:186,MDM2-p53 pathway,0.9030899869919435,8,8
"CDKN1A,CREBBP,EP300,RBL1,TP53",TP53-regulated transcr. of cell cycle genes,"CDKN1A,CREBBP,EP300,RBL1,TP53",TP53 regulates transcription of cell cycle genes,NEST:177,TP53 regulates transcription of cell cycle genes,0.6989700043360189,5,5
"CASP8,CTCF,HIST1H1C,HIST1H1E,PARP1,XPC",Histone modifications in DNA damage response,"CASP8,CTCF,HIST1H1C,HIST1H1E,PARP1,XPC",Histone modifications in DNA damage response,NEST:158,Histone modifications in DNA damage response,0.7781512503836436,6,6
"DKC1,HDAC1,HDAC2,KAT6A,KDM5A,MAX,MYC,MYCL,MYCN,PALB2,TERT,TNF,UPF1,YEATS4",Histone acetyltransferase complex,"DKC1,HDAC1,HDAC2,KAT6A,KDM5A,MAX,MYC,MYCL,MYCN,PALB2,TERT,TNF,UPF1,YEATS4",Histone acetyltransferase complex,NEST:57,Histone acetyltransferase complex,1.146128035678238,14,14
"ARID1A,ARID1B,ARID2,ATRX,BARD1,BCL11B,BCL7A,BCLAF1,BRD4,CASP8,CDC73,CDK12,CHD2,CHD4,CREBBP,CTCF,CTNNB1,DDX3X,DNMT1,DNMT3A,DNMT3B,E2F1,EMSY,EP300,EWSR1,EZH2,FUBP1,FUS,GATA3,HDAC1,HDAC2,HDAC3,HIST1H1E,HIST3H3,ING1,IRF2,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,MAGI2,MDM2,MEN1,MTA1,MYC,PALB2,PARP1,PBRM1,PHF6,PPP1CC,PRCC,PRDM1,PRKDC,PRPF40B,PTPN11,RAD21,RANBP2,RB1,RBM10,RSF1,RUNX1,SF1,SF3B1,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TERT,TNF,TOP1,TOP2A,TP53,U2AF1,UPF1,WRN,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2",mRNA processing,"ATRX,CDK12,CHD2,CTCF,HIST1H1E,MDM2,PPP1CC,PTPN11,RANBP2,RSF1,TAF1,TOP1,TOP2A,WRN,XPO1,XRCC1,YEATS4",mRNA processing,NEST:10,mRNA processing,1.9590413923210936,91,17
"ACTA2,CD276,DMD,DPYD,ENG,FANCC,FGF10,FOXA1,GREM1,INHBA,PALLD,PDGFRB,TNF",Extracellular matrix organization,"DMD,DPYD,ENG,FOXA1,INHBA",Extracellular matrix organization,NEST:20,Extracellular matrix organization,1.1139433523068367,13,5
"ADGRA2,ARID5B,CBR3,EBF1,EGF,EPCAM,ERG,FCGR2A,FGF10,FGF19,FLT1,FLT4,KDR,NEGR1,NOTCH4,PREX2,RET,SETBP1,SH2B3,SOX17,VEGFA,VSIR",NEST:16,"ADGRA2,ARID5B,CBR3,EBF1,EGF,EPCAM,FCGR2A,FGF10,FGF19,NEGR1,PREX2,RET,SETBP1,SOX17",NEST:16,NEST:16,NEST:16,1.3424226808222062,22,14
"CDK8,ESR1,FBXW7,MED1,MED12,RARA",Mediator complex,"CDK8,ESR1,FBXW7,MED1,MED12,RARA",Mediator complex,NEST:90,Mediator complex,0.7781512503836436,6,6
"AR,BCL6,CREBBP,EP300,HDAC1,HDAC2,KAT6A,MYC,PML,RUNX1,TBL1XR1,TERT,TNF,TP53,YEATS4",NEST:85,"AR,BCL6,CREBBP,EP300,HDAC1,HDAC2,KAT6A,MYC,PML,RUNX1,TBL1XR1,TERT,TNF,TP53,YEATS4",NEST:85,NEST:85,NEST:85,1.1760912590556813,15,15
"ASXL2,ATRX,CDK12,GATA1,MGA,NF1,NSD1,RSF1,SETD2,SPEN",NEST:78,"ASXL2,ATRX,CDK12,GATA1,MGA,NF1,NSD1,RSF1,SETD2,SPEN",NEST:78,NEST:78,NEST:78,1,10,10
"BCOR,BCORL1,CHD2,E2F6,EED,EZH2,MGA,TFDP1,TNF",PcG protein complex,CHD2,PcG protein complex,NEST:66,PcG protein complex,0.9542425094393249,9,1
"APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,GPC3,HNF1A,HNF1B,IDH1,MST1,TPMT",Metabolic pathways,"APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,GPC3,HNF1A,HNF1B,IDH1,MST1,TPMT",Metabolic pathways,NEST:11,Metabolic pathways,1.0791812460476249,12,12
"ACTA2,CASR,CBL,MYH11,NFE2L2,PALLD,PIK3CA,PPP1CB,RAC1,TNF,TPM1",Actin filament-based process,RAC1,Actin filament-based process,NEST:23,Actin filament-based process,1.0413926851582251,11,1
"CREBBP,DAXX,EP300,HDAC1,NPM1,PARP1,PML,RB1,TERT",PML body,"CREBBP,DAXX,EP300,HDAC1,NPM1,PARP1,PML,RB1,TERT",PML body,NEST:123,PML body,0.9542425094393249,9,9
"AR,CHD4,CREBBP,CTNNB1,DAXX,EP300,HDAC1,HDAC2,MYB,PML,RB1,RBL1,REL,SMAD2",AR signaling,"AR,CHD4,CREBBP,CTNNB1,DAXX,EP300,HDAC1,HDAC2,MYB,PML,RB1,RBL1,REL,SMAD2",Androgen receptor signaling pathway,NEST:112,Androgen receptor signaling pathway,1.146128035678238,14,14
"CDC73,CHEK2,DKC1,FUS,HRAS,NPM1,RHOA,RPL5,SF3B1,TERT,TNF,XPC",Ribosome abundance control,"CDC73,CHEK2,DKC1,FUS,HRAS,NPM1,RHOA,RPL5,SF3B1,TERT,TNF,XPC",Ribosome abundance control,NEST:33,Ribosome abundance control,1.0791812460476249,12,12
"ASNS,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,RPL5,RPS15,SHQ1,XPC",Ribosome biogenesis,"ASNS,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,RPL5,RPS15,SHQ1,XPC",Ribosome biogenesis,NEST:13,Ribosome biogenesis,1.255272505103306,18,18
"B2M,BTK,CD22,CD40,CIITA,CSF1R,CTLA4,FCGR2A,FCGR3A,FYN,HAVCR2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IKZF1,IKZF3,KIT,LYN,PDCD1,PIK3CD,PTPN22,SH2D1A,SYK,TAP1,TAP2,TIGIT",Lymphocyte activation,"BTK,CD22,CD40,CIITA,CSF1R,CTLA4,FCGR2A,FCGR3A,FYN,HAVCR2,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,IKZF1,IKZF3,KIT,LYN,PDCD1,PIK3CD,PTPN22,SH2D1A,SYK,TAP1,TIGIT",Lymphocyte activation,NEST:25,Lymphocyte activation,1.591064607026499,39,31
"B2M,BIRC3,CARD11,CD19,CD274,CD40,CD70,CD79A,CD79B,CIITA,CTLA4,CXCR4,FLT3,GATA3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IKZF1,IKZF3,IL15,IL7R,IRF1,IRF4,JAK3,KLHL6,LAG3,MS4A1,P2RY8,PDCD1,PDCD1LG2,PHOX2B,PRF1,PTPN22,SH2D1A,STAT4,TAP2,TIGIT,TNFRSF14,TNFRSF17,TNFRSF9",Regulation of immune responses,"BIRC3,CARD11,CD19,CD274,CD40,CD70,CD79A,CD79B,CIITA,CTLA4,CXCR4,FLT3,GATA3,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IDO1,IKZF1,IKZF3,IL15,IL7R,IRF1,IRF4,JAK3,KLHL6,LAG3,MS4A1,P2RY8,PDCD1,PDCD1LG2,PHOX2B,PRF1,PTPN22,SH2D1A,STAT4,TIGIT,TNFRSF14,TNFRSF17,TNFRSF9",Regulation of immune responses,NEST:18,Regulation of immune responses,1.7558748556724915,57,49
"CTNNB1,EP300,HIST3H3,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,MAGI2,MEN1,TNF",Histone methyltransferase complex,"CTNNB1,HIST3H3,KMT2C,MAGI2,TNF",Histone methyltransferase complex,NEST:98,Histone methyltransferase complex,1.0413926851582251,11,5
"ARID1A,ARID1B,ARID2,BCL7A,CHD4,HDAC2,MYC,PBRM1,SMARCA4,SMARCB1,SMARCE1,SOX2",Polybromo/BAF complex,"BCL7A,CHD4,HDAC2,MYC",Polybromo- and BAF containing complex,NEST:92,Polybromo- and BAF containing complex,1.0791812460476249,12,4
"BARD1,BCL11B,BRD4,CHD4,CREBBP,DNMT1,DNMT3A,DNMT3B,E2F1,EMSY,EZH2,HDAC1,HDAC2,HDAC3,HIST3H3,ING1,IRF2,KDM5A,MTA1,PALB2,PARP1,PHF6,PRDM1,RB1,RUNX1,SMARCA1,TERT,TP53,ZBTB2,ZNF217",Histone modification,"BARD1,BRD4,DNMT3A,DNMT3B,EMSY,HDAC3,HIST3H3,KDM5A,PHF6,PRDM1,RB1,SMARCA1,TERT,ZNF217",Histone modification,NEST:34,Histone modification,1.4771212547196624,30,14
